Target,Top1 0.23 [%],Top10 0.23 [%],Top100 0.23 [%],Top1 0.49 [%],Top10 0.49 [%],Top100 0.49 [%],Top1 0.80 [%],Top10 0.80 [%],Top100 0.80 [%]
D3SGQ,0,0,0,0,0,0,0,0,0
D2JEL,0,0,2,0,0,0,0,0,0
D1TMQ,0,0,0,0,0,0,0,0,0
D2I25,0,0,0,0,0,0,0,0,0
D2OOR,0,0,2,0,0,0,0,0,0
D3BP8,0,0,0,0,0,0,0,0,0
D2I9B,0,0,2,0,0,0,0,0,0
D1JWH,0,0,2,0,0,0,0,0,0
D2HRK,0,0,7,0,0,3,0,0,0
D1F34,0,0,0,0,0,0,0,0,0
D7CEI,0,20,9,0,20,4,0,0,0
D1BUH,0,20,16,0,0,3,0,0,0
D1JK9,0,0,0,0,0,0,0,0,0
D2HLE,0,0,0,0,0,0,0,0,0
D1DFJ,0,30,10,0,0,0,0,0,0
D1XD3,0,30,22,0,0,0,0,0,0
D1OC0,0,0,0,0,0,0,0,0,0
D2QFW,0,10,2,0,0,0,0,0,0
D1KXQ,0,0,15,0,0,14,0,0,0
D1H9D,0,0,2,0,0,0,0,0,0
D1OYV,0,0,0,0,0,0,0,0,0
D1US7,0,0,0,0,0,0,0,0,0
D2MTA,0,0,0,0,0,0,0,0,0
D2VDB,0,0,0,0,0,0,0,0,0
D1JTG,0,0,3,0,0,3,0,0,0
D1K74,0,0,0,0,0,0,0,0,0
