5ibxD1.pdb3	5ibxG1.pdb3	1581.5
1ibyD3.pdb2	1ibyD1.pdb2	910.05
1ibyD3.pdb2	1ibyD2.pdb2	910.05
1ibyD1.pdb2	1ibyD2.pdb2	910.05
1ibtE1.pdb1	1ibtA1.pdb1	513.15
1ibtE1.pdb1	1ibtF1.pdb1	3142.9
1ibtE1.pdb1	1ibtB1.pdb1	132.6
1ibtE1.pdb1	1ibtD1.pdb1	878.9
1ibtE1.pdb1	1ibtC1.pdb1	525.25
1ibtE1.pdb1	1ibtB2.pdb1	141.15
1ibtA1.pdb1	1ibtF1.pdb1	857.15
1ibtA1.pdb1	1ibtF2.pdb1	140.0
1ibtA1.pdb1	1ibtB1.pdb1	3166.35
1ibtA1.pdb1	1ibtD1.pdb1	130.4
1ibtA1.pdb1	1ibtC1.pdb1	511.0
1ibtE2.pdb1	1ibtF2.pdb1	3142.9
1ibtE2.pdb1	1ibtA2.pdb1	513.2
1ibtE2.pdb1	1ibtB1.pdb1	141.15
1ibtE2.pdb1	1ibtC2.pdb1	525.25
1ibtE2.pdb1	1ibtD2.pdb1	878.85
1ibtE2.pdb1	1ibtB2.pdb1	132.65
1ibtF1.pdb1	1ibtA2.pdb1	140.05
1ibtF1.pdb1	1ibtB1.pdb1	341.25
1ibtF1.pdb1	1ibtD1.pdb1	355.5
1ibtF1.pdb1	1ibtC1.pdb1	135.1
1ibtF1.pdb1	1ibtB2.pdb1	196.25
1ibtF2.pdb1	1ibtA2.pdb1	857.15
1ibtF2.pdb1	1ibtB1.pdb1	196.2
1ibtF2.pdb1	1ibtC2.pdb1	135.1
1ibtF2.pdb1	1ibtD2.pdb1	355.45
1ibtF2.pdb1	1ibtB2.pdb1	341.3
1ibtA2.pdb1	1ibtC2.pdb1	511.0
1ibtA2.pdb1	1ibtD2.pdb1	130.35
1ibtA2.pdb1	1ibtB2.pdb1	3166.4
1ibtB1.pdb1	1ibtD1.pdb1	331.8
1ibtB1.pdb1	1ibtC1.pdb1	795.35
