5l5bU1.pdb1	5l5bM1.pdb1	71.95
5l5bV1.pdb1	5l5bP1.pdb1	276.9
5l5bV1.pdb1	5l5bK1.pdb1	96.15
5l5bV1.pdb1	5l5bb1.pdb1	476.65
5l5bV1.pdb1	5l5bL1.pdb1	1451.25
5l5bV1.pdb1	5l5bM1.pdb1	921.5
5l5bN1.pdb1	5l5bF1.pdb1	473.4
5l5bN1.pdb1	5l5bb1.pdb1	634.55
5l5bN1.pdb1	5l5bH1.pdb1	476.75
5l5bN1.pdb1	5l5bM1.pdb1	619.45
5l5bF1.pdb1	5l5bB1.pdb1	139.15
5l5bF1.pdb1	5l5bE1.pdb1	1313.05
5l5bF1.pdb1	5l5bM1.pdb1	457.7
5l5bP1.pdb1	5l5bR1.pdb1	108.05
5l5bK1.pdb1	5l5bC1.pdb1	331.75
5l5bK1.pdb1	5l5bL1.pdb1	741.75
5l5bB1.pdb1	5l5bI1.pdb1	472.45
5l5bB1.pdb1	5l5bC1.pdb1	1539.4
5l5bB1.pdb1	5l5bH1.pdb1	274.65
5l5bB1.pdb1	5l5bE1.pdb1	124.4
5l5bb1.pdb1	5l5bM1.pdb1	1333.65
5l5bI1.pdb1	5l5bY1.pdb1	962.75
5l5bI1.pdb1	5l5bH1.pdb1	1636.55
5l5bR1.pdb1	5l5bY1.pdb1	396.4
5l5bY1.pdb1	5l5bH1.pdb1	92.45
5l5bL1.pdb1	5l5bE1.pdb1	355.4
5l5bL1.pdb1	5l5bM1.pdb1	944.8
5l5bE1.pdb1	5l5bM1.pdb1	581.4
5l5zV1.pdb1	5l5zW1.pdb1	1611.8
5l5zV1.pdb1	5l5zU1.pdb1	640.1
5l5zV1.pdb1	5l5zO1.pdb1	646.7
5l5zV1.pdb1	5l5zb1.pdb1	502.95
5l5zV1.pdb1	5l5zK1.pdb1	96.5
5l5zV1.pdb1	5l5zM1.pdb1	931.65
5l5zV1.pdb1	5l5zP1.pdb1	276.2
5l5zV1.pdb1	5l5zL1.pdb1	1474.45
5l5zF1.pdb1	5l5zb1.pdb1	0.05
5l5zF1.pdb1	5l5zB1.pdb1	143.9
5l5zF1.pdb1	5l5zE1.pdb1	1339.85
5l5zF1.pdb1	5l5zM1.pdb1	457.6
5l5zF1.pdb1	5l5zN1.pdb1	472.6
5l5zF1.pdb1	5l5zG1.pdb1	1377.3
5l5zF1.pdb1	5l5zA1.pdb1	152.4
5l5zW1.pdb1	5l5zO1.pdb1	529.25
5l5zW1.pdb1	5l5zb1.pdb1	0.05
5l5zW1.pdb1	5l5zK1.pdb1	971.4
5l5zW1.pdb1	5l5zX1.pdb1	557.4
5l5zW1.pdb1	5l5zP1.pdb1	471.1
5l5zW1.pdb1	5l5zL1.pdb1	716.95
5l5zU1.pdb1	5l5zO1.pdb1	1424.75
5l5zU1.pdb1	5l5zb1.pdb1	459.25
5l5zU1.pdb1	5l5zM1.pdb1	69.1
5l5zU1.pdb1	5l5zT1.pdb1	1378.75
5l5zU1.pdb1	5l5zP1.pdb1	140.0
5l5zC1.pdb1	5l5zb1.pdb1	0.05
5l5zC1.pdb1	5l5zB1.pdb1	1562.2
5l5zC1.pdb1	5l5zJ1.pdb1	402.35
5l5zC1.pdb1	5l5zK1.pdb1	348.4
5l5zC1.pdb1	5l5zD1.pdb1	1276.75
5l5zC1.pdb1	5l5zA1.pdb1	88.8
5l5zO1.pdb1	5l5zb1.pdb1	0.05
5l5zO1.pdb1	5l5zQ1.pdb1	89.1
5l5zO1.pdb1	5l5zR1.pdb1	26.05
5l5zO1.pdb1	5l5zT1.pdb1	158.8
5l5zO1.pdb1	5l5zP1.pdb1	1354.6
5l5zO1.pdb1	5l5zS1.pdb1	61.0
5l5zb1.pdb1	5l5zB1.pdb1	0.05
5l5zb1.pdb1	5l5zE1.pdb1	0.05
5l5zb1.pdb1	5l5zQ1.pdb1	0.05
5l5zb1.pdb1	5l5zJ1.pdb1	0.05
5l5zb1.pdb1	5l5zZ1.pdb1	0.05
5l5zb1.pdb1	5l5zI1.pdb1	0.05
5l5zb1.pdb1	5l5zH1.pdb1	0.05
5l5zb1.pdb1	5l5zK1.pdb1	0.05
5l5zb1.pdb1	5l5zX1.pdb1	0.05
5l5zb1.pdb1	5l5zR1.pdb1	0.05
5l5zb1.pdb1	5l5zM1.pdb1	1357.25
5l5zb1.pdb1	5l5zN1.pdb1	641.35
5l5zb1.pdb1	5l5zT1.pdb1	476.15
5l5zb1.pdb1	5l5zP1.pdb1	0.05
5l5zb1.pdb1	5l5zG1.pdb1	0.05
5l5zb1.pdb1	5l5zY1.pdb1	0.05
5l5zb1.pdb1	5l5zS1.pdb1	0.05
5l5zb1.pdb1	5l5zD1.pdb1	0.05
5l5zb1.pdb1	5l5zA1.pdb1	0.05
5l5zb1.pdb1	5l5za1.pdb1	630.75
5l5zb1.pdb1	5l5zL1.pdb1	0.05
5l5zB1.pdb1	5l5zE1.pdb1	133.9
5l5zB1.pdb1	5l5zJ1.pdb1	558.0
5l5zB1.pdb1	5l5zI1.pdb1	474.5
5l5zB1.pdb1	5l5zH1.pdb1	275.85
5l5zB1.pdb1	5l5zG1.pdb1	133.05
5l5zB1.pdb1	5l5zD1.pdb1	121.5
5l5zB1.pdb1	5l5zA1.pdb1	1360.65
5l5zE1.pdb1	5l5zM1.pdb1	591.45
5l5zE1.pdb1	5l5zD1.pdb1	1033.75
5l5zE1.pdb1	5l5zA1.pdb1	61.8
5l5zE1.pdb1	5l5zL1.pdb1	361.05
5l5zQ1.pdb1	5l5zX1.pdb1	397.5
5l5zQ1.pdb1	5l5zR1.pdb1	1284.05
5l5zQ1.pdb1	5l5zP1.pdb1	1549.85
5l5zQ1.pdb1	5l5zY1.pdb1	339.1
5l5zJ1.pdb1	5l5zI1.pdb1	568.3
5l5zJ1.pdb1	5l5zK1.pdb1	641.55
5l5zJ1.pdb1	5l5zX1.pdb1	722.3
5l5zJ1.pdb1	5l5zY1.pdb1	777.1
5l5zZ1.pdb1	5l5zI1.pdb1	717.95
5l5zZ1.pdb1	5l5zH1.pdb1	1466.05
5l5zZ1.pdb1	5l5zR1.pdb1	533.0
5l5zZ1.pdb1	5l5zY1.pdb1	684.5
5l5zZ1.pdb1	5l5zS1.pdb1	356.0
5l5zZ1.pdb1	5l5za1.pdb1	981.3
5l5zI1.pdb1	5l5zH1.pdb1	1620.1
5l5zI1.pdb1	5l5zY1.pdb1	970.35
5l5zI1.pdb1	5l5zA1.pdb1	532.95
5l5zH1.pdb1	5l5zN1.pdb1	496.45
5l5zH1.pdb1	5l5zG1.pdb1	642.6
5l5zH1.pdb1	5l5zY1.pdb1	97.85
5l5zH1.pdb1	5l5zA1.pdb1	642.15
5l5zH1.pdb1	5l5za1.pdb1	926.95
5l5zK1.pdb1	5l5zX1.pdb1	778.9
5l5zK1.pdb1	5l5zD1.pdb1	442.1
5l5zK1.pdb1	5l5zL1.pdb1	671.8
5l5zX1.pdb1	5l5zP1.pdb1	556.65
5l5zX1.pdb1	5l5zY1.pdb1	639.75
