1ht5B1.pdb1	1ht5A1.pdb1	2479.8
2ht2B1.pdb1	2ht2C1.pdb1	124.95
2ht2B1.pdb1	2ht2E1.pdb1	462.1
2ht2B1.pdb1	2ht2A1.pdb1	3465.75
2ht2C1.pdb1	2ht2A1.pdb1	461.55
2ht2E1.pdb1	2ht2A1.pdb1	136.7
3hthC1.pdb2	3hthC2.pdb2	1353.55
4htpC1.pdb1	4htpA1.pdb1	441.75
4htzC1.pdb1	4htzA1.pdb1	1161.75
1ht2F2.pdb1	1ht2F3.pdb1	6.8
1ht2F2.pdb1	1ht2E1.pdb1	2260.25
1ht2F2.pdb1	1ht2E2.pdb1	2076.1
1ht2F2.pdb1	1ht2B2.pdb1	289.45
1ht2F2.pdb1	1ht2F1.pdb1	6.8
1ht2B3.pdb1	1ht2F3.pdb1	289.45
1ht2B3.pdb1	1ht2E3.pdb1	0.05
1ht2B3.pdb1	1ht2A2.pdb1	605.85
1ht2B3.pdb1	1ht2A3.pdb1	462.7
1ht2B1.pdb1	1ht2E3.pdb1	0.05
1ht2B1.pdb1	1ht2A3.pdb1	605.8
1ht2B1.pdb1	1ht2A1.pdb1	462.7
1ht2B1.pdb1	1ht2F1.pdb1	289.45
1ht2F3.pdb1	1ht2E3.pdb1	2076.1
1ht2F3.pdb1	1ht2E2.pdb1	2260.3
1ht2F3.pdb1	1ht2F1.pdb1	6.8
1ht2E3.pdb1	1ht2E1.pdb1	10.25
1ht2E3.pdb1	1ht2A3.pdb1	227.15
1ht2E3.pdb1	1ht2E2.pdb1	10.25
1ht2E3.pdb1	1ht2F1.pdb1	2260.25
1ht2E1.pdb1	1ht2A1.pdb1	227.1
1ht2E1.pdb1	1ht2E2.pdb1	10.25
1ht2E1.pdb1	1ht2F1.pdb1	2076.1
1ht2A2.pdb1	1ht2A3.pdb1	11.25
1ht2A2.pdb1	1ht2A1.pdb1	11.2
1ht2A2.pdb1	1ht2E2.pdb1	227.2
1ht2A2.pdb1	1ht2B2.pdb1	462.75
1ht2A3.pdb1	1ht2A1.pdb1	11.2
1ht2A1.pdb1	1ht2B2.pdb1	605.85
1htqN1.pdb2	1htqO1.pdb2	1879.2
1htqN1.pdb2	1htqM1.pdb2	1877.95
1htqN1.pdb2	1htqU1.pdb2	398.95
1htqN1.pdb2	1htqT1.pdb2	2866.65
1htqW1.pdb2	1htqP1.pdb2	381.7
1htqW1.pdb2	1htqX1.pdb2	1886.35
1htqW1.pdb2	1htqV1.pdb2	1872.45
1htqW1.pdb2	1htqQ1.pdb2	2864.1
1htqO1.pdb2	1htqP1.pdb2	1858.05
1htqO1.pdb2	1htqU1.pdb2	2875.6
1htqO1.pdb2	1htqV1.pdb2	397.25
1htqP1.pdb2	1htqV1.pdb2	2847.4
1htqP1.pdb2	1htqQ1.pdb2	1902.65
1htqM1.pdb2	1htqR1.pdb2	1906.6
1htqM1.pdb2	1htqS1.pdb2	2884.6
1htqM1.pdb2	1htqT1.pdb2	387.95
1htqR1.pdb2	1htqS1.pdb2	406.3
1htqR1.pdb2	1htqX1.pdb2	2873.55
1htqR1.pdb2	1htqQ1.pdb2	1861.75
1htqU1.pdb2	1htqV1.pdb2	1858.2
1htqU1.pdb2	1htqT1.pdb2	1884.6
1htqS1.pdb2	1htqX1.pdb2	1902.05
1htqS1.pdb2	1htqT1.pdb2	1867.15
1htqX1.pdb2	1htqQ1.pdb2	406.85
1htrP2.pdb1	1htrB1.pdb1	281.65
1htrP2.pdb1	1htrP1.pdb1	247.0
1htrP2.pdb1	1htrB2.pdb1	2332.7
1htrB1.pdb1	1htrP1.pdb1	2332.7
1htrB1.pdb1	1htrB2.pdb1	531.0
1htrP1.pdb1	1htrB2.pdb1	281.65
2htyA1.pdb1	2htyD1.pdb1	1581.95
2htyA1.pdb1	2htyC1.pdb1	1571.55
2htyA1.pdb1	2htyB1.pdb1	16.8
2htyD1.pdb1	2htyC1.pdb1	16.65
2htyD1.pdb1	2htyB1.pdb1	1571.2
2htyC1.pdb1	2htyB1.pdb1	1577.95
2htvB1.pdb2	2htvB3.pdb2	1506.1
2htvB1.pdb2	2htvB2.pdb2	7.2
2htvB1.pdb2	2htvB4.pdb2	1501.9
2htvB3.pdb2	2htvB2.pdb2	1501.95
2htvB3.pdb2	2htvB4.pdb2	7.3
2htvB2.pdb2	2htvB4.pdb2	1506.15
4htmA2.pdb2	4htmA1.pdb2	240.2
1htaA1.pdb1	1htaA2.pdb1	1675.9
5htbA1.pdb1	5htbC1.pdb1	519.85
3ht4E2.pdb2	3ht4G2.pdb2	1957.3
3ht4E2.pdb2	3ht4H1.pdb2	213.55
3ht4E2.pdb2	3ht4D1.pdb2	1710.9
3ht4G2.pdb2	3ht4H1.pdb2	1802.4
3ht4G2.pdb2	3ht4D1.pdb2	200.95
3ht4H1.pdb2	3ht4D1.pdb2	2001.8
3htuF1.pdb3	3htuE1.pdb3	737.1
2ht4A1.pdb1	2ht4F1.pdb1	43.2
2ht4A1.pdb1	2ht4E1.pdb1	128.8
2ht4A1.pdb1	2ht4D1.pdb1	137.4
2ht4A1.pdb1	2ht4C1.pdb1	435.75
