4xkuL1.pdb1	4xkuH1.pdb1	526.1
4xkuL1.pdb1	4xkuL2.pdb1	24.6
4xkuL1.pdb1	4xkuJ1.pdb1	529.25
4xkuL1.pdb1	4xkuG1.pdb1	543.75
4xkuL1.pdb1	4xkuG2.pdb1	562.7
4xkuL1.pdb1	4xkuK1.pdb1	910.05
4xkuJ2.pdb1	4xkuI2.pdb1	910.65
4xkuJ2.pdb1	4xkuL2.pdb1	529.3
4xkuJ2.pdb1	4xkuD2.pdb1	20.4
4xkuJ2.pdb1	4xkuH2.pdb1	519.85
4xkuJ2.pdb1	4xkuA2.pdb1	555.65
4xkuJ2.pdb1	4xkuK2.pdb1	549.1
4xkuB2.pdb1	4xkuE2.pdb1	554.2
4xkuB2.pdb1	4xkuE1.pdb1	549.1
4xkuB2.pdb1	4xkuF2.pdb1	522.35
4xkuB2.pdb1	4xkuD2.pdb1	525.3
4xkuB2.pdb1	4xkuB1.pdb1	22.7
4xkuB2.pdb1	4xkuA2.pdb1	911.35
4xkuA1.pdb1	4xkuE2.pdb1	522.85
4xkuA1.pdb1	4xkuB1.pdb1	911.35
4xkuA1.pdb1	4xkuI1.pdb1	526.6
4xkuA1.pdb1	4xkuJ1.pdb1	555.6
4xkuA1.pdb1	4xkuD1.pdb1	560.5
4xkuA1.pdb1	4xkuK1.pdb1	22.2
4xkuF1.pdb1	4xkuE1.pdb1	917.75
4xkuF1.pdb1	4xkuI2.pdb1	548.45
4xkuF1.pdb1	4xkuC1.pdb1	556.85
4xkuF1.pdb1	4xkuB1.pdb1	522.35
4xkuF1.pdb1	4xkuH2.pdb1	29.2
4xkuF1.pdb1	4xkuD1.pdb1	531.25
4xkuC2.pdb1	4xkuF2.pdb1	556.85
4xkuC2.pdb1	4xkuH1.pdb1	538.65
4xkuC2.pdb1	4xkuD2.pdb1	911.6
4xkuC2.pdb1	4xkuI1.pdb1	21.05
4xkuC2.pdb1	4xkuG1.pdb1	519.1
4xkuC2.pdb1	4xkuK2.pdb1	527.75
4xkuE2.pdb1	4xkuE1.pdb1	27.9
4xkuE2.pdb1	4xkuF2.pdb1	917.7
4xkuE2.pdb1	4xkuB1.pdb1	549.1
4xkuE2.pdb1	4xkuI1.pdb1	526.95
4xkuE1.pdb1	4xkuI2.pdb1	526.95
4xkuE1.pdb1	4xkuB1.pdb1	554.2
4xkuE1.pdb1	4xkuA2.pdb1	522.85
4xkuF2.pdb1	4xkuH1.pdb1	29.15
4xkuF2.pdb1	4xkuD2.pdb1	531.25
4xkuF2.pdb1	4xkuI1.pdb1	548.45
4xkuH1.pdb1	4xkuI1.pdb1	561.2
4xkuH1.pdb1	4xkuJ1.pdb1	519.85
4xkuH1.pdb1	4xkuG1.pdb1	902.4
4xkuI2.pdb1	4xkuC1.pdb1	21.05
4xkuI2.pdb1	4xkuH2.pdb1	561.25
4xkuI2.pdb1	4xkuA2.pdb1	526.6
4xkuL2.pdb1	4xkuH2.pdb1	526.1
4xkuL2.pdb1	4xkuG1.pdb1	562.7
4xkuL2.pdb1	4xkuG2.pdb1	543.7
4xkuL2.pdb1	4xkuK2.pdb1	910.05
4xkuD2.pdb1	4xkuA2.pdb1	560.5
4xkuD2.pdb1	4xkuK2.pdb1	553.25
4xkuC1.pdb1	4xkuH2.pdb1	538.65
4xkuC1.pdb1	4xkuG2.pdb1	519.1
4xkuC1.pdb1	4xkuD1.pdb1	911.6
4xkuC1.pdb1	4xkuK1.pdb1	527.75
4xkuB1.pdb1	4xkuD1.pdb1	525.3
4xkuH2.pdb1	4xkuG2.pdb1	902.4
4xkuI1.pdb1	4xkuJ1.pdb1	910.65
4xkuJ1.pdb1	4xkuD1.pdb1	20.4
4xkuJ1.pdb1	4xkuK1.pdb1	549.05
4xkuA2.pdb1	4xkuK2.pdb1	22.2
4xkuG1.pdb1	4xkuG2.pdb1	28.2
4xkuG1.pdb1	4xkuK2.pdb1	531.0
4xkuG2.pdb1	4xkuK1.pdb1	531.0
4xkuD1.pdb1	4xkuK1.pdb1	553.25
5xkqB1.pdb1	5xkqA1.pdb1	1068.1
5xkhC1.pdb1	5xkhE1.pdb1	766.35
5xkhC1.pdb1	5xkhD1.pdb1	1439.65
5xkhC1.pdb1	5xkhB1.pdb1	867.15
5xkhE1.pdb1	5xkhA1.pdb1	1551.5
5xkhE1.pdb1	5xkhD1.pdb1	749.75
5xkhE1.pdb1	5xkhB1.pdb1	652.75
5xkhA1.pdb1	5xkhF1.pdb1	798.0
5xkhA1.pdb1	5xkhB1.pdb1	1340.15
5xkhF1.pdb1	5xkhB1.pdb1	353.25
4xkwA1.pdb1	4xkwA2.pdb1	3446.4
4xkwA1.pdb1	4xkwA3.pdb1	3446.4
4xkwA2.pdb1	4xkwA3.pdb1	3446.35
5xk8A1.pdb1	5xk8B1.pdb1	1761.75
