3c2vA4.pdb1	3c2vA5.pdb1	28.9
3c2vA3.pdb1	3c2vA5.pdb1	777.05
5c2cB1.pdb1	5c2cA2.pdb1	74.2
5c2cB1.pdb1	5c2cC1.pdb1	3191.7
5c2cB1.pdb1	5c2cC2.pdb1	74.6
5c2cB1.pdb1	5c2cA1.pdb1	1082.35
5c2cB2.pdb1	5c2cA2.pdb1	1082.4
5c2cB2.pdb1	5c2cC1.pdb1	74.65
5c2cB2.pdb1	5c2cC2.pdb1	3191.75
5c2cB2.pdb1	5c2cA1.pdb1	74.25
5c2cA2.pdb1	5c2cC2.pdb1	73.9
5c2cA2.pdb1	5c2cA1.pdb1	3231.6
5c2cC1.pdb1	5c2cC2.pdb1	1074.7
5c2cC1.pdb1	5c2cA1.pdb1	73.95
3c2uC1.pdb3	3c2uD1.pdb3	2026.95
5c27D1.pdb1	5c27A1.pdb1	330.15
6c2rA2.pdb1	6c2rA1.pdb1	1451.3
6c2fF1.pdb2	6c2fE1.pdb2	535.5
6c2fF1.pdb2	6c2fD1.pdb2	332.7
6c2fE1.pdb2	6c2fD1.pdb2	230.5
2c2jA2.pdb1	2c2jA10.pdb1	827.35
2c2jA2.pdb1	2c2jA5.pdb1	828.25
2c2jA2.pdb1	2c2jA6.pdb1	499.25
2c2jA2.pdb1	2c2jA1.pdb1	1204.8
2c2jA2.pdb1	2c2jA9.pdb1	499.95
2c2jA12.pdb1	2c2jA10.pdb1	499.95
2c2jA12.pdb1	2c2jA7.pdb1	499.3
2c2jA12.pdb1	2c2jA8.pdb1	828.25
2c2jA12.pdb1	2c2jA9.pdb1	827.35
2c2jA12.pdb1	2c2jA11.pdb1	1204.8
2c2jA10.pdb1	2c2jA7.pdb1	497.5
2c2jA10.pdb1	2c2jA5.pdb1	828.55
2c2jA10.pdb1	2c2jA9.pdb1	1207.6
2c2jA7.pdb1	2c2jA5.pdb1	1202.6
2c2jA7.pdb1	2c2jA3.pdb1	828.55
2c2jA7.pdb1	2c2jA11.pdb1	828.25
2c2jA5.pdb1	2c2jA1.pdb1	499.3
2c2jA5.pdb1	2c2jA3.pdb1	497.5
2c2jA8.pdb1	2c2jA4.pdb1	497.45
2c2jA8.pdb1	2c2jA6.pdb1	1202.6
2c2jA8.pdb1	2c2jA9.pdb1	828.55
2c2jA8.pdb1	2c2jA11.pdb1	499.25
2c2jA4.pdb1	2c2jA6.pdb1	828.55
2c2jA4.pdb1	2c2jA1.pdb1	827.35
2c2jA4.pdb1	2c2jA3.pdb1	1207.6
2c2jA4.pdb1	2c2jA11.pdb1	499.95
2c2jA6.pdb1	2c2jA1.pdb1	828.25
2c2jA6.pdb1	2c2jA9.pdb1	497.45
2c2jA1.pdb1	2c2jA3.pdb1	499.95
2c2jA3.pdb1	2c2jA11.pdb1	827.35
6c2yB1.pdb1	6c2yA1.pdb1	1112.15
6c2yB1.pdb1	6c2yG1.pdb1	2251.3
5c2tD1.pdb1	5c2tA1.pdb1	577.2
5c2tD1.pdb1	5c2tB1.pdb1	934.2
5c2tD1.pdb1	5c2tC1.pdb1	1853.6
5c2tA1.pdb1	5c2tB1.pdb1	2636.9
5c2tA1.pdb1	5c2tC1.pdb1	44.15
5c2tB1.pdb1	5c2tC1.pdb1	1910.6
2c2bB1.pdb1	2c2bA1.pdb1	3516.05
2c26A1.pdb1	2c26A2.pdb1	681.5
3c27B1.pdb1	3c27H1.pdb1	572.4
3c27B1.pdb1	3c27A1.pdb1	1050.6
2c2bE1.pdb3	2c2bF1.pdb3	3560.8
3c2jA1.pdb1	3c2jB1.pdb1	301.75
4c2bD1.pdb2	4c2bC1.pdb2	1016.65
4c2tA1.pdb1	4c2tM1.pdb1	1165.2
4c2tA1.pdb1	4c2tN1.pdb1	274.3
4c2tA1.pdb1	4c2tB1.pdb1	87.1
4c2tM1.pdb1	4c2tN1.pdb1	935.85
4c2tM1.pdb1	4c2tB1.pdb1	206.1
4c2tN1.pdb1	4c2tB1.pdb1	1103.55
3c2kP1.pdb1	3c2kT1.pdb1	466.6
3c2kP1.pdb1	3c2kA1.pdb1	361.3
3c2kT1.pdb1	3c2kA1.pdb1	720.95
3c2kT1.pdb1	3c2kD1.pdb1	224.4
3c2kA1.pdb1	3c2kD1.pdb1	359.7
5c2oA2.pdb1	5c2oB2.pdb1	1563.75
5c2oA2.pdb1	5c2oB1.pdb1	1245.5
5c2oA1.pdb1	5c2oB3.pdb1	1247.65
5c2oA1.pdb1	5c2oB1.pdb1	1561.0
5c2oA3.pdb1	5c2oB3.pdb1	1562.35
5c2oA3.pdb1	5c2oB2.pdb1	1243.95
4c2gB1.pdb1	4c2gA1.pdb1	317.35
4c2gC2.pdb1	4c2gA2.pdb1	334.5
4c2gC1.pdb1	4c2gA1.pdb1	334.5
4c2gA1.pdb1	4c2gA2.pdb1	2562.05
4c2gA2.pdb1	4c2gB2.pdb1	317.35
5c2bL1.pdb1	5c2bH1.pdb1	746.5
6c2fK1.pdb4	6c2fL1.pdb4	537.0
6c2fK1.pdb4	6c2fJ1.pdb4	238.7
6c2fL1.pdb4	6c2fJ1.pdb4	287.1
6c24Z1.pdb1	6c24N1.pdb1	134.15
6c24Z1.pdb1	6c24E1.pdb1	11.0
6c24Z1.pdb1	6c24C1.pdb1	57.25
6c24Z1.pdb1	6c24P1.pdb1	329.25
6c24Z1.pdb1	6c24Q1.pdb1	9.3
6c24N1.pdb1	6c24A1.pdb1	1445.25
6c24N1.pdb1	6c24M1.pdb1	49.9
6c24N1.pdb1	6c24C1.pdb1	2.25
6c24N1.pdb1	6c24P1.pdb1	1225.4
6c24N1.pdb1	6c24L1.pdb1	26.5
6c24N1.pdb1	6c24K1.pdb1	6.85
6c24N1.pdb1	6c24Q1.pdb1	1610.85
6c24E1.pdb1	6c24A1.pdb1	422.4
6c24E1.pdb1	6c24C1.pdb1	35.15
6c24E1.pdb1	6c24P1.pdb1	208.2
6c24E1.pdb1	6c24Q1.pdb1	350.1
6c24B1.pdb1	6c24L1.pdb1	279.85
6c24A1.pdb1	6c24M1.pdb1	433.35
6c24A1.pdb1	6c24C1.pdb1	97.15
6c24A1.pdb1	6c24P1.pdb1	354.05
6c24A1.pdb1	6c24L1.pdb1	186.15
6c24A1.pdb1	6c24K1.pdb1	8.1
6c24A1.pdb1	6c24Q1.pdb1	994.25
6c24M1.pdb1	6c24C1.pdb1	390.25
6c24M1.pdb1	6c24L1.pdb1	607.7
6c24M1.pdb1	6c24K1.pdb1	2482.4
6c24O1.pdb1	6c24K1.pdb1	623.1
6c24C1.pdb1	6c24P1.pdb1	342.0
6c24C1.pdb1	6c24L1.pdb1	2822.25
6c24C1.pdb1	6c24K1.pdb1	1057.05
6c24P1.pdb1	6c24L1.pdb1	48.2
6c24P1.pdb1	6c24K1.pdb1	69.1
6c24P1.pdb1	6c24Q1.pdb1	647.4
6c24L1.pdb1	6c24K1.pdb1	144.15
5c2yB1.pdb3	5c2yA1.pdb3	1066.8
6c26B1.pdb1	6c2621.pdb1	1201.45
6c26B1.pdb1	6c26A1.pdb1	1385.55
6c26B1.pdb1	6c26C1.pdb1	2510.1
6c26B1.pdb1	6c2611.pdb1	133.75
6c2621.pdb1	6c26A1.pdb1	1291.95
6c2621.pdb1	6c26C1.pdb1	1190.75
6c2621.pdb1	6c2611.pdb1	106.05
6c2641.pdb1	6c26A1.pdb1	1580.25
6c26A1.pdb1	6c2631.pdb1	2342.35
6c26A1.pdb1	6c26C1.pdb1	271.3
6c26A1.pdb1	6c2651.pdb1	58.35
6c26A1.pdb1	6c2611.pdb1	1104.9
6c26C1.pdb1	6c2611.pdb1	292.6
6c2651.pdb1	6c2611.pdb1	1738.0
3c2eA1.pdb1	3c2eA6.pdb1	31.65
3c2eA1.pdb1	3c2eA3.pdb1	767.8
3c2eA1.pdb1	3c2eA2.pdb1	2326.5
3c2eA1.pdb1	3c2eA5.pdb1	767.75
3c2eA1.pdb1	3c2eA4.pdb1	920.2
3c2eA6.pdb1	3c2eA3.pdb1	920.1
3c2eA6.pdb1	3c2eA2.pdb1	767.7
3c2eA6.pdb1	3c2eA5.pdb1	2326.4
3c2eA6.pdb1	3c2eA4.pdb1	767.75
3c2eA3.pdb1	3c2eA2.pdb1	31.7
3c2eA3.pdb1	3c2eA5.pdb1	767.7
3c2eA3.pdb1	3c2eA4.pdb1	2326.5
3c2eA2.pdb1	3c2eA5.pdb1	920.1
3c2eA2.pdb1	3c2eA4.pdb1	767.8
3c2eA5.pdb1	3c2eA4.pdb1	31.65
3c2tB3.pdb2	3c2tB1.pdb2	1250.5
3c2tB3.pdb2	3c2tB2.pdb2	1253.4
3c2tB1.pdb2	3c2tB2.pdb2	1253.2
2c28A1.pdb1	2c28P1.pdb1	537.55
2c28A1.pdb1	2c28T1.pdb1	907.35
2c28P1.pdb1	2c28T1.pdb1	551.4
6c28B1.pdb2	6c28C2.pdb2	2702.1
4c2bA1.pdb1	4c2bB1.pdb1	907.9
3c2mP1.pdb1	3c2mA1.pdb1	345.45
3c2mP1.pdb1	3c2mT1.pdb1	465.5
3c2mD1.pdb1	3c2mA1.pdb1	380.8
3c2mD1.pdb1	3c2mT1.pdb1	232.35
3c2mA1.pdb1	3c2mT1.pdb1	512.2
6c2sB1.pdb2	6c2sX1.pdb2	374.8
6c2sB1.pdb2	6c2sY1.pdb2	462.25
6c2sB1.pdb2	6c2sC1.pdb2	2482.75
