3trhJ1.pdb2	3trhO1.pdb2	579.4
3trhO1.pdb2	3trhP1.pdb2	1041.55
5trrC1.pdb1	5trrD1.pdb1	812.1
5trrC1.pdb1	5trrK1.pdb1	397.75
5trrC1.pdb1	5trrJ1.pdb1	625.55
5trrC1.pdb1	5trrB1.pdb1	794.85
5trrM1.pdb1	5trrF1.pdb1	617.5
5trrM1.pdb1	5trra1.pdb1	723.05
5trrM1.pdb1	5trrN1.pdb1	482.75
5trrM1.pdb1	5trrL1.pdb1	466.1
5trrM1.pdb1	5trrE1.pdb1	414.65
5trrM1.pdb1	5trrb1.pdb1	468.6
5trrD1.pdb1	5trrK1.pdb1	618.2
5trrD1.pdb1	5trrL1.pdb1	394.85
5trrD1.pdb1	5trrE1.pdb1	809.25
5trrU1.pdb1	5trrT1.pdb1	879.35
5trrU1.pdb1	5trrO1.pdb1	842.15
5trrU1.pdb1	5trrV1.pdb1	399.8
5trrU1.pdb1	5trrb1.pdb1	595.55
5trrQ1.pdb1	5trrY1.pdb1	401.25
5trrQ1.pdb1	5trrR1.pdb1	769.45
5trrQ1.pdb1	5trrP1.pdb1	756.25
5trrQ1.pdb1	5trrX1.pdb1	624.0
5trrF1.pdb1	5trrN1.pdb1	397.0
5trrF1.pdb1	5trrE1.pdb1	801.25
5trrF1.pdb1	5trrG1.pdb1	800.9
5trrH1.pdb1	5trrA1.pdb1	620.15
5trrH1.pdb1	5trrY1.pdb1	737.6
5trrH1.pdb1	5trrI1.pdb1	486.65
5trrH1.pdb1	5trrZ1.pdb1	470.45
5trrH1.pdb1	5trrN1.pdb1	461.55
5trrH1.pdb1	5trrG1.pdb1	408.3
5trrA1.pdb1	5trrI1.pdb1	392.95
5trrA1.pdb1	5trrG1.pdb1	823.45
5trrA1.pdb1	5trrB1.pdb1	828.7
5trra1.pdb1	5trrS1.pdb1	377.8
5trra1.pdb1	5trrZ1.pdb1	430.2
5trra1.pdb1	5trrN1.pdb1	462.75
5trra1.pdb1	5trrT1.pdb1	615.45
5trra1.pdb1	5trrb1.pdb1	431.05
5trrY1.pdb1	5trrI1.pdb1	467.7
5trrY1.pdb1	5trrZ1.pdb1	437.7
5trrY1.pdb1	5trrR1.pdb1	628.15
5trrY1.pdb1	5trrX1.pdb1	455.8
5trrK1.pdb1	5trrW1.pdb1	453.9
5trrK1.pdb1	5trrJ1.pdb1	421.05
5trrK1.pdb1	5trrV1.pdb1	733.35
5trrK1.pdb1	5trrL1.pdb1	518.65
5trrI1.pdb1	5trrJ1.pdb1	436.8
5trrI1.pdb1	5trrX1.pdb1	729.3
5trrI1.pdb1	5trrB1.pdb1	598.65
5trrW1.pdb1	5trrJ1.pdb1	714.65
5trrW1.pdb1	5trrO1.pdb1	394.15
5trrW1.pdb1	5trrV1.pdb1	521.5
5trrW1.pdb1	5trrP1.pdb1	618.1
5trrW1.pdb1	5trrX1.pdb1	445.55
5trrS1.pdb1	5trrZ1.pdb1	615.45
5trrS1.pdb1	5trrT1.pdb1	783.15
5trrS1.pdb1	5trrR1.pdb1	874.95
5trrZ1.pdb1	5trrN1.pdb1	701.4
5trrZ1.pdb1	5trrR1.pdb1	426.3
5trrN1.pdb1	5trrG1.pdb1	628.55
5trrT1.pdb1	5trrb1.pdb1	414.45
5trrJ1.pdb1	5trrX1.pdb1	466.6
5trrJ1.pdb1	5trrB1.pdb1	397.6
5trrO1.pdb1	5trrV1.pdb1	636.35
5trrO1.pdb1	5trrP1.pdb1	793.35
