4wpxF1.pdb1	4wpxD1.pdb1	204.3
4wpxF1.pdb1	4wpxE1.pdb1	1967.0
4wpxD1.pdb1	4wpxB1.pdb1	312.1
4wpxD1.pdb1	4wpxE1.pdb1	1544.75
4wpxC1.pdb1	4wpxB1.pdb1	1918.7
4wpxB1.pdb1	4wpxE1.pdb1	249.65
3wp1B1.pdb1	3wp1A1.pdb1	538.65
4wphA1.pdb1	4wphD1.pdb1	693.4
4wp0A1.pdb1	4wp0B1.pdb1	2868.65
3wppA3.pdb1	3wppA1.pdb1	2309.85
3wppA3.pdb1	3wppA2.pdb1	2309.9
3wppA1.pdb1	3wppA2.pdb1	2309.9
2wpfB1.pdb2	2wpfA1.pdb2	3295.4
1wpoB1.pdb1	1wpoA1.pdb1	1364.3
5wpwA2.pdb1	5wpwB2.pdb1	2306.05
5wpwA2.pdb1	5wpwB1.pdb1	388.1
5wpwA2.pdb1	5wpwA1.pdb1	2537.25
5wpwA2.pdb1	5wpwA3.pdb1	2537.3
5wpwA2.pdb1	5wpwB3.pdb1	32.5
5wpwB2.pdb1	5wpwB1.pdb1	2473.05
5wpwB2.pdb1	5wpwA1.pdb1	32.5
5wpwB2.pdb1	5wpwA3.pdb1	388.2
5wpwB2.pdb1	5wpwB3.pdb1	2473.1
5wpwB1.pdb1	5wpwA1.pdb1	2306.0
5wpwB1.pdb1	5wpwA3.pdb1	32.5
5wpwB1.pdb1	5wpwB3.pdb1	2473.05
5wpwA1.pdb1	5wpwA3.pdb1	2537.25
5wpwA1.pdb1	5wpwB3.pdb1	388.15
5wpwA3.pdb1	5wpwB3.pdb1	2306.05
4wpdA1.pdb1	4wpdB1.pdb1	1516.9
3wprC1.pdb1	3wprB1.pdb1	3831.2
3wprC1.pdb1	3wprA1.pdb1	3932.65
3wprB1.pdb1	3wprA1.pdb1	3799.6
2wp3O1.pdb1	2wp3T1.pdb1	701.65
4wpiC1.pdb2	4wpiB1.pdb2	642.8
2wp7A2.pdb1	2wp7A1.pdb1	994.1
2wpvF1.pdb3	2wpvE1.pdb3	2336.25
1wpgB1.pdb1	1wpgC1.pdb1	122.25
1wpgB1.pdb1	1wpgD1.pdb1	28.85
1wpgB1.pdb1	1wpgA1.pdb1	390.8
1wpgC1.pdb1	1wpgD1.pdb1	393.95
1wpwB2.pdb2	1wpwA1.pdb2	264.25
1wpwB2.pdb2	1wpwA2.pdb2	1812.3
1wpwB2.pdb2	1wpwB1.pdb2	327.6
1wpwA1.pdb2	1wpwA2.pdb2	315.8
