4il6a1.pdb1	4il6t1.pdb1	505.25
4il6a1.pdb1	4il6B1.pdb1	51.15
4il6a1.pdb1	4il6b1.pdb1	838.55
4il6a1.pdb1	4il6o1.pdb1	714.35
4il6a1.pdb1	4il6f1.pdb1	107.1
4il6a1.pdb1	4il6l1.pdb1	267.45
4il6a1.pdb1	4il6d1.pdb1	5406.0
4il6R1.pdb1	4il6F1.pdb1	228.85
4il6T1.pdb1	4il6b1.pdb1	149.65
4il6T1.pdb1	4il6M1.pdb1	144.1
4il6T1.pdb1	4il6L1.pdb1	572.05
4il6T1.pdb1	4il6D1.pdb1	209.25
4il6t1.pdb1	4il6B1.pdb1	151.05
4il6t1.pdb1	4il6m1.pdb1	143.9
4il6t1.pdb1	4il6l1.pdb1	582.65
4il6t1.pdb1	4il6d1.pdb1	207.65
4il6B1.pdb1	4il6o1.pdb1	422.95
4il6B1.pdb1	4il6O1.pdb1	740.45
4il6B1.pdb1	4il6M1.pdb1	96.3
4il6B1.pdb1	4il6L1.pdb1	624.65
4il6B1.pdb1	4il6D1.pdb1	2946.7
4il6b1.pdb1	4il6o1.pdb1	739.2
4il6b1.pdb1	4il6O1.pdb1	430.65
4il6b1.pdb1	4il6m1.pdb1	95.1
4il6b1.pdb1	4il6l1.pdb1	641.05
4il6b1.pdb1	4il6d1.pdb1	2936.9
4il6z1.pdb1	4il6k1.pdb1	296.2
4il6z1.pdb1	4il6y1.pdb1	414.7
4il6Z1.pdb1	4il6K1.pdb1	283.9
4il6Z1.pdb1	4il6Y1.pdb1	376.2
4il6o1.pdb1	4il6d1.pdb1	683.6
4il6O1.pdb1	4il6D1.pdb1	683.7
4il6f1.pdb1	4il6d1.pdb1	490.95
4il6F1.pdb1	4il6D1.pdb1	490.25
4il6K1.pdb1	4il6D1.pdb1	14.5
4il6K1.pdb1	4il6Y1.pdb1	540.15
4il6k1.pdb1	4il6d1.pdb1	5.4
4il6k1.pdb1	4il6y1.pdb1	522.7
4il6m1.pdb1	4il6M1.pdb1	679.05
4il6m1.pdb1	4il6l1.pdb1	812.7
4il6m1.pdb1	4il6d1.pdb1	104.2
4il6M1.pdb1	4il6L1.pdb1	808.95
4il6M1.pdb1	4il6D1.pdb1	104.4
4il6l1.pdb1	4il6d1.pdb1	407.55
4il6L1.pdb1	4il6D1.pdb1	405.8
6ilqA1.pdb1	6ilqB1.pdb1	638.65
5il7A1.pdb1	5il7B1.pdb1	1504.75
6iltB1.pdb1	6iltA1.pdb1	1228.2
1ilqC1.pdb1	1ilqA1.pdb1	726.2
1ilqA1.pdb1	1ilqB1.pdb1	847.9
3il1H2.pdb2	3il1H1.pdb2	755.2
4ildB1.pdb1	4ildA1.pdb1	596.55
3ilvA1.pdb2	3ilvA2.pdb2	3814.8
4il2A4.pdb1	4il2A1.pdb1	1025.7
4il2A4.pdb1	4il2A2.pdb1	1025.7
4il2A4.pdb1	4il2B1.pdb1	1268.35
4il2A4.pdb1	4il2B4.pdb1	2561.15
4il2A1.pdb1	4il2A3.pdb1	1025.7
4il2A1.pdb1	4il2B3.pdb1	1268.35
4il2A1.pdb1	4il2B1.pdb1	2561.15
4il2B2.pdb1	4il2A3.pdb1	1268.35
4il2B2.pdb1	4il2A2.pdb1	2561.15
4il2B2.pdb1	4il2B3.pdb1	1027.8
4il2B2.pdb1	4il2B4.pdb1	1027.8
4il2A3.pdb1	4il2A2.pdb1	1025.7
4il2A3.pdb1	4il2B3.pdb1	2561.2
4il2A2.pdb1	4il2B4.pdb1	1268.35
4il2B3.pdb1	4il2B1.pdb1	1027.8
4il2B1.pdb1	4il2B4.pdb1	1027.8
4ilhA1.pdb1	4ilhB1.pdb1	454.8
3il8A1.pdb1	3il8A2.pdb1	924.6
3il5D1.pdb2	3il5C1.pdb2	3210.5
2il1A1.pdb2	2il1A2.pdb2	571.2
1ilvB2.pdb2	1ilvB1.pdb2	3115.5
6ilcA1.pdb1	6ilcB1.pdb1	1187.9
6ilcA1.pdb1	6ilcC1.pdb1	901.85
5ilnA1.pdb1	5ilnB1.pdb1	763.65
5ilnA1.pdb1	5ilnC1.pdb1	1047.65
5ilnB1.pdb1	5ilnC1.pdb1	793.05
6ildB1.pdb1	6ildC1.pdb1	378.05
6ildB1.pdb1	6ildA1.pdb1	4190.65
6ildC1.pdb1	6ildA1.pdb1	646.1
2iltA2.pdb1	2iltA1.pdb1	2298.5
4il9B1.pdb1	4il9A1.pdb1	2198.5
4il9B1.pdb1	4il9C1.pdb1	2238.5
4il9A1.pdb1	4il9E1.pdb1	2206.6
4il9D1.pdb1	4il9C1.pdb1	2208.85
4il9D1.pdb1	4il9E1.pdb1	2203.15
4ilgA1.pdb1	4ilgC1.pdb1	514.1
4ilgA1.pdb1	4ilgB1.pdb1	1182.25
4ilgC1.pdb1	4ilgB1.pdb1	479.6
2iluA3.pdb1	2iluA4.pdb1	1132.5
2iluA3.pdb1	2iluA1.pdb1	2452.9
2iluA3.pdb1	2iluA2.pdb1	899.7
2iluA4.pdb1	2iluA1.pdb1	899.75
2iluA4.pdb1	2iluA2.pdb1	2452.8
2iluA1.pdb1	2iluA2.pdb1	1132.5
4ilfB1.pdb1	4ilfA1.pdb1	971.7
2ilnB1.pdb1	2ilnA1.pdb1	184.35
2ilnB1.pdb1	2ilnI1.pdb1	757.35
2ilnA1.pdb1	2ilnI1.pdb1	709.2
5il2A1.pdb1	5il2B1.pdb1	2421.4
3ilqD1.pdb1	3ilqC1.pdb1	1149.4
1ilvA1.pdb3	1ilvB4.pdb3	223.75
1ilvA1.pdb3	1ilvB3.pdb3	420.9
1ilvA1.pdb3	1ilvA2.pdb3	3145.0
1ilvB4.pdb3	1ilvB3.pdb3	3115.5
1ilvB4.pdb3	1ilvA2.pdb3	420.9
1ilvB3.pdb3	1ilvA2.pdb3	223.75
4ilrA2.pdb1	4ilrA1.pdb1	1370.45
4ilkB1.pdb1	4ilkA1.pdb1	1702.3
1ilr11.pdb1	1ilr21.pdb1	573.3
4iloA1.pdb3	4iloB1.pdb3	689.4
4iloA1.pdb3	4iloB2.pdb3	1305.65
4iloA1.pdb3	4iloA2.pdb3	221.1
4iloB1.pdb3	4iloB2.pdb3	126.7
4iloB1.pdb3	4iloA2.pdb3	1305.65
4iloB2.pdb3	4iloA2.pdb3	689.4
3ilkB1.pdb1	3ilkA1.pdb1	2330.9
5il1A1.pdb1	5il1B1.pdb1	2391.1
3iluE1.pdb1	3iluB1.pdb1	759.0
5ilaA2.pdb1	5ilaB2.pdb1	1134.1
5ilaA2.pdb1	5ilaA4.pdb1	573.65
5ilaA2.pdb1	5ilaB4.pdb1	30.0
5ilaA2.pdb1	5ilaA3.pdb1	573.65
5ilaB3.pdb1	5ilaB2.pdb1	544.85
5ilaB3.pdb1	5ilaB1.pdb1	544.85
5ilaB3.pdb1	5ilaA1.pdb1	30.0
5ilaB3.pdb1	5ilaA3.pdb1	1134.1
5ilaB2.pdb1	5ilaB4.pdb1	544.85
5ilaB2.pdb1	5ilaA3.pdb1	30.0
5ilaA4.pdb1	5ilaB1.pdb1	30.0
5ilaA4.pdb1	5ilaB4.pdb1	1134.1
5ilaA4.pdb1	5ilaA1.pdb1	573.65
5ilaB1.pdb1	5ilaB4.pdb1	544.85
5ilaB1.pdb1	5ilaA1.pdb1	1134.1
5ilaA1.pdb1	5ilaA3.pdb1	573.65
3il6A1.pdb1	3il6A2.pdb1	3090.4
5iloA1.pdb1	5iloB1.pdb1	2336.25
1ilkA1.pdb1	1ilkA2.pdb1	4467.4
5il5A2.pdb1	5il5A1.pdb1	490.4
4ilsC1.pdb2	4ilsB1.pdb2	2663.2
3il4B1.pdb1	3il4A1.pdb1	3158.2
6ilrA1.pdb1	6ilrB1.pdb1	1283.2
5il0B1.pdb1	5il0A1.pdb1	2455.35
2il3A1.pdb1	2il3B1.pdb1	1592.15
3ilpA1.pdb1	3ilpB1.pdb1	1294.75
3ilhA2.pdb2	3ilhA1.pdb2	573.9
5ilgB1.pdb1	5ilgA1.pdb1	2355.5
