3nwrA2.pdb1	3nwrA1.pdb1	3358.4
1nwx01.pdb1	1nwxF1.pdb1	188.25
1nwx01.pdb1	1nwxX1.pdb1	659.35
1nwx01.pdb1	1nwxY1.pdb1	761.8
1nwx01.pdb1	1nwx91.pdb1	848.3
1nwx01.pdb1	1nwxD1.pdb1	342.65
1nwx01.pdb1	1nwxG1.pdb1	527.45
1nwx11.pdb1	1nwxN1.pdb1	0.05
1nwx21.pdb1	1nwxN1.pdb1	0.05
1nwxC1.pdb1	1nwxN1.pdb1	0.05
1nwxK1.pdb1	1nwxN1.pdb1	0.05
1nwxK1.pdb1	1nwxT1.pdb1	45.05
1nwxK1.pdb1	1nwx91.pdb1	93.45
1nwxO1.pdb1	1nwxH1.pdb1	58.9
1nwxO1.pdb1	1nwxN1.pdb1	0.05
1nwxH1.pdb1	1nwxN1.pdb1	0.05
1nwxR1.pdb1	1nwxN1.pdb1	0.05
1nwxN1.pdb1	1nwxA1.pdb1	0.05
1nwxN1.pdb1	1nwxE1.pdb1	0.05
1nwxN1.pdb1	1nwxT1.pdb1	0.05
1nwxN1.pdb1	1nwxF1.pdb1	0.05
1nwxN1.pdb1	1nwxX1.pdb1	0.05
1nwxN1.pdb1	1nwxY1.pdb1	0.05
1nwxN1.pdb1	1nwx91.pdb1	0.05
1nwxN1.pdb1	1nwxD1.pdb1	0.05
1nwxN1.pdb1	1nwxG1.pdb1	0.05
1nwxT1.pdb1	1nwx91.pdb1	225.3
1nwxT1.pdb1	1nwxG1.pdb1	30.9
1nwxF1.pdb1	1nwxY1.pdb1	34.85
1nwxX1.pdb1	1nwx91.pdb1	12.95
1nwx91.pdb1	1nwxD1.pdb1	384.85
3nwfB1.pdb2	3nwfB3.pdb2	6241.05
3nwfB1.pdb2	3nwfB2.pdb2	6241.05
3nwfB3.pdb2	3nwfB2.pdb2	6241.05
5nw1A1.pdb1	5nw1C1.pdb1	187.6
5nw1A1.pdb1	5nw1B1.pdb1	1091.05
5nw1C1.pdb1	5nw1B1.pdb1	1031.95
3nwsA1.pdb1	3nwsC1.pdb1	1342.9
2nwiA1.pdb1	2nwiB1.pdb1	925.55
6nwoC1.pdb2	6nwoB1.pdb2	868.65
1nw4B1.pdb4	1nw4C1.pdb4	1188.5
5nw0C1.pdb1	5nw0A1.pdb1	192.2
5nw0C1.pdb1	5nw0B1.pdb1	1013.45
5nw0A1.pdb1	5nw0B1.pdb1	1090.75
1nw4D1.pdb2	1nw4E1.pdb2	1191.1
5nwaC1.pdb1	5nwaA2.pdb1	296.8
5nwaC1.pdb1	5nwaC2.pdb1	306.1
5nwaC1.pdb1	5nwaA1.pdb1	650.35
5nwaA2.pdb1	5nwaC2.pdb1	650.35
5nwaA2.pdb1	5nwaA1.pdb1	13.9
5nwaC2.pdb1	5nwaA1.pdb1	296.8
3nwaC1.pdb3	3nwaC3.pdb3	6280.15
3nwaC1.pdb3	3nwaC2.pdb3	6280.05
3nwaC3.pdb3	3nwaC2.pdb3	6280.1
5nwcH1.pdb1	5nwcA1.pdb1	2994.0
3nwnA1.pdb1	3nwnA2.pdb1	640.9
3nwnA1.pdb1	3nwnA3.pdb1	640.9
3nwnA2.pdb1	3nwnA3.pdb1	640.9
3nwdC1.pdb3	3nwdC3.pdb3	6062.85
3nwdC1.pdb3	3nwdC2.pdb3	6062.85
3nwdC3.pdb3	3nwdC2.pdb3	6062.85
1nw2C1.pdb4	1nw2A1.pdb4	419.25
1nw2C1.pdb4	1nw2H2.pdb4	69.55
1nw2C1.pdb4	1nw2B1.pdb4	533.05
1nw2C1.pdb4	1nw2D1.pdb4	461.1
1nw2F2.pdb4	1nw2G2.pdb4	527.8
1nw2F2.pdb4	1nw2E2.pdb4	456.6
1nw2A1.pdb4	1nw2B1.pdb4	451.55
1nw2A1.pdb4	1nw2D1.pdb4	558.5
1nw2H2.pdb4	1nw2G2.pdb4	511.65
1nw2H2.pdb4	1nw2E2.pdb4	558.85
1nw2H2.pdb4	1nw2B1.pdb4	29.3
1nw2H2.pdb4	1nw2D1.pdb4	198.0
1nw2G2.pdb4	1nw2E2.pdb4	417.8
1nw2B1.pdb4	1nw2D1.pdb4	0.05
3nw8B3.pdb1	3nw8B2.pdb1	6322.35
3nw8B3.pdb1	3nw8B1.pdb1	6322.4
3nw8B2.pdb1	3nw8B1.pdb1	6322.35
2nwnB1.pdb1	2nwnA1.pdb1	710.75
3nwdB1.pdb1	3nwdB3.pdb1	6112.6
3nwdB1.pdb1	3nwdB2.pdb1	6112.7
3nwdB3.pdb1	3nwdB2.pdb1	6112.6
5nw2D1.pdb2	5nw2E1.pdb2	1100.0
5nw2D1.pdb2	5nw2F1.pdb2	165.3
5nw2E1.pdb2	5nw2F1.pdb2	1035.65
3nwdA1.pdb2	3nwdA2.pdb2	6119.7
3nwdA1.pdb2	3nwdA3.pdb2	6119.7
3nwdA2.pdb2	3nwdA3.pdb2	6119.75
4nw2C1.pdb2	4nw2D1.pdb2	355.95
3nwgA1.pdb1	3nwgA6.pdb1	415.95
3nwgA1.pdb1	3nwgA3.pdb1	662.95
3nwgA1.pdb1	3nwgA5.pdb1	241.3
3nwgA1.pdb1	3nwgA2.pdb1	662.95
3nwgA6.pdb1	3nwgA3.pdb1	241.3
3nwgA6.pdb1	3nwgA4.pdb1	662.95
3nwgA6.pdb1	3nwgA5.pdb1	662.95
3nwgA3.pdb1	3nwgA4.pdb1	416.0
3nwgA3.pdb1	3nwgA2.pdb1	662.95
3nwgA4.pdb1	3nwgA5.pdb1	662.95
3nwgA4.pdb1	3nwgA2.pdb1	241.3
3nwgA5.pdb1	3nwgA2.pdb1	415.95
3nw2A2.pdb1	3nw2A1.pdb1	3280.5
4nwzB1.pdb1	4nwzA1.pdb1	176.05
1nwpA2.pdb3	1nwpB1.pdb3	213.3
2nwwC1.pdb1	2nwwB1.pdb1	1057.9
2nwwC1.pdb1	2nwwA1.pdb1	1047.5
2nwwB1.pdb1	2nwwA1.pdb1	1026.45
3nwjA1.pdb3	3nwjB1.pdb3	1165.4
2nwsA2.pdb1	2nwsA1.pdb1	192.55
2nwsA2.pdb1	2nwsB2.pdb1	1795.8
2nwsA2.pdb1	2nwsB1.pdb1	1357.6
2nwsA1.pdb1	2nwsB2.pdb1	1357.6
2nwsA1.pdb1	2nwsB1.pdb1	1795.9
2nwsB2.pdb1	2nwsB1.pdb1	194.85
5nwlH1.pdb2	5nwlI1.pdb2	1480.7
5nwlL1.pdb2	5nwlK1.pdb2	1426.55
5nwlL1.pdb2	5nwlM1.pdb2	1752.55
5nwlK1.pdb2	5nwlJ1.pdb2	1654.55
5nwlN1.pdb2	5nwlM1.pdb2	1524.95
5nwlI1.pdb2	5nwlJ1.pdb2	1363.2
3nwhC1.pdb1	3nwhD1.pdb1	978.5
3nwhC1.pdb1	3nwhB1.pdb1	796.85
3nwhC1.pdb1	3nwhA1.pdb1	1760.75
3nwhD1.pdb1	3nwhB1.pdb1	1597.95
3nwhD1.pdb1	3nwhA1.pdb1	791.5
3nwhB1.pdb1	3nwhA1.pdb1	936.4
3nwcB1.pdb2	3nwcB2.pdb2	1835.75
3nwkC1.pdb3	3nwkA1.pdb3	1107.8
6nwpC1.pdb1	6nwpD1.pdb1	182.5
6nwpC1.pdb1	6nwpA1.pdb1	3079.5
6nwpC1.pdb1	6nwpE1.pdb1	12.65
6nwpC1.pdb1	6nwpB1.pdb1	182.5
6nwpD1.pdb1	6nwpF1.pdb1	12.05
6nwpD1.pdb1	6nwpB1.pdb1	3086.7
6nwpA1.pdb1	6nwpE1.pdb1	3092.3
6nwpA1.pdb1	6nwpF1.pdb1	187.3
6nwpA1.pdb1	6nwpB1.pdb1	186.2
6nwpE1.pdb1	6nwpF1.pdb1	181.4
6nwpF1.pdb1	6nwpB1.pdb1	3075.9
3nwlD1.pdb1	3nwlB1.pdb1	4575.7
3nwlD1.pdb1	3nwlC1.pdb1	2051.45
3nwlD1.pdb1	3nwlA1.pdb1	4836.3
3nwlB1.pdb1	3nwlC1.pdb1	4790.3
3nwlB1.pdb1	3nwlA1.pdb1	2017.5
3nwlC1.pdb1	3nwlA1.pdb1	4563.55
5nwdA1.pdb1	5nwdH1.pdb1	2988.5
5nwlE1.pdb1	5nwlF1.pdb1	1662.75
5nwlE1.pdb1	5nwlD1.pdb1	1467.95
5nwlA1.pdb1	5nwlB1.pdb1	1488.55
5nwlF1.pdb1	5nwlG1.pdb1	1498.3
5nwlC1.pdb1	5nwlD1.pdb1	1679.7
5nwlC1.pdb1	5nwlB1.pdb1	1433.05
1nw4D1.pdb6	1nw4C1.pdb6	1949.6
3nw3D1.pdb1	3nw3A1.pdb1	70.6
3nw3D1.pdb1	3nw3B1.pdb1	119.6
3nw3D1.pdb1	3nw3C1.pdb1	506.2
3nw3A1.pdb1	3nw3B1.pdb1	717.9
3nw3A1.pdb1	3nw3C1.pdb1	322.2
1nw1B1.pdb1	1nw1A1.pdb1	1180.65
2nwuA1.pdb1	2nwuB1.pdb1	564.85
4nw2A1.pdb1	4nw2B1.pdb1	354.15
3nwzC1.pdb2	3nwzA1.pdb2	1900.85
1nw7A1.pdb2	1nw7A2.pdb2	1728.2
1nwyQ1.pdb1	1nwyZ1.pdb1	9.1
1nwyQ1.pdb1	1nwyL1.pdb1	10.6
1nwyQ1.pdb1	1nwy01.pdb1	1065.7
1nwyC1.pdb1	1nwyJ1.pdb1	73.25
1nwyC1.pdb1	1nwy01.pdb1	1612.35
1nwyT1.pdb1	1nwyG1.pdb1	30.9
1nwyT1.pdb1	1nwyK1.pdb1	45.15
1nwyT1.pdb1	1nwy91.pdb1	225.4
1nwyT1.pdb1	1nwy01.pdb1	241.7
1nwy31.pdb1	1nwy11.pdb1	1.1
1nwy31.pdb1	1nwyJ1.pdb1	84.25
1nwy31.pdb1	1nwy01.pdb1	851.7
1nwyX1.pdb1	1nwy91.pdb1	12.95
1nwyX1.pdb1	1nwy01.pdb1	659.25
1nwy41.pdb1	1nwy01.pdb1	406.0
1nwyW1.pdb1	1nwyR1.pdb1	21.75
1nwyW1.pdb1	1nwy01.pdb1	274.1
1nwyR1.pdb1	1nwy01.pdb1	581.95
1nwyF1.pdb1	1nwyY1.pdb1	34.85
1nwyF1.pdb1	1nwy01.pdb1	188.1
1nwyU1.pdb1	1nwyM1.pdb1	19.2
1nwyU1.pdb1	1nwy91.pdb1	34.05
1nwyU1.pdb1	1nwy01.pdb1	837.75
1nwyB1.pdb1	1nwyI1.pdb1	51.6
1nwyB1.pdb1	1nwyN1.pdb1	54.35
1nwyB1.pdb1	1nwy01.pdb1	2525.85
1nwyB1.pdb1	1nwyH1.pdb1	25.9
1nwyG1.pdb1	1nwy01.pdb1	527.35
1nwyK1.pdb1	1nwy91.pdb1	93.45
1nwyK1.pdb1	1nwy01.pdb1	927.55
1nwyM1.pdb1	1nwy91.pdb1	448.55
1nwyM1.pdb1	1nwy01.pdb1	367.55
1nwyD1.pdb1	1nwy91.pdb1	384.85
1nwyD1.pdb1	1nwy01.pdb1	342.25
1nwyY1.pdb1	1nwy01.pdb1	759.7
1nwyA1.pdb1	1nwy01.pdb1	2977.3
1nwy11.pdb1	1nwy01.pdb1	418.1
1nwyJ1.pdb1	1nwy01.pdb1	1716.65
1nwyJ1.pdb1	1nwyP1.pdb1	9.8
1nwyZ1.pdb1	1nwyL1.pdb1	37.8
1nwyZ1.pdb1	1nwy01.pdb1	1002.5
1nwyE1.pdb1	1nwy01.pdb1	656.35
1nwyI1.pdb1	1nwyN1.pdb1	120.0
1nwyI1.pdb1	1nwy01.pdb1	656.65
1nwyS1.pdb1	1nwy01.pdb1	668.15
1nwy91.pdb1	1nwy01.pdb1	848.15
1nwyL1.pdb1	1nwy01.pdb1	1271.45
1nwyN1.pdb1	1nwy01.pdb1	467.25
1nwy21.pdb1	1nwy01.pdb1	973.95
1nwyO1.pdb1	1nwy01.pdb1	1381.55
1nwyO1.pdb1	1nwyH1.pdb1	58.9
1nwyO1.pdb1	1nwyP1.pdb1	85.55
1nwy01.pdb1	1nwyH1.pdb1	909.85
1nwy01.pdb1	1nwyP1.pdb1	456.05
1nwcA1.pdb1	1nwcB1.pdb1	3405.95
4nwzB2.pdb3	4nwzA1.pdb3	834.5
3nwfC3.pdb3	3nwfC2.pdb3	6096.35
3nwfC3.pdb3	3nwfC1.pdb3	6096.35
3nwfC2.pdb3	3nwfC1.pdb3	6096.25
3nwaA2.pdb2	3nwaA3.pdb2	6355.8
3nwaA2.pdb2	3nwaA1.pdb2	6355.85
3nwaA3.pdb2	3nwaA1.pdb2	6355.85
5nwkS1.pdb3	5nwkD1.pdb3	437.5
5nwkC1.pdb3	5nwkR1.pdb3	375.45
5nwkC1.pdb3	5nwkD1.pdb3	1064.15
1nwpA1.pdb2	1nwpB2.pdb2	168.55
3nwfD1.pdb4	3nwfD2.pdb4	6119.0
3nwfD1.pdb4	3nwfD3.pdb4	6119.05
3nwfD2.pdb4	3nwfD3.pdb4	6119.05
5nw1F1.pdb2	5nw1E1.pdb2	1028.25
5nw1F1.pdb2	5nw1D1.pdb2	165.8
5nw1E1.pdb2	5nw1D1.pdb2	1101.55
5nw8D1.pdb1	5nw8A1.pdb1	730.5
5nwtM1.pdb1	5nwtA1.pdb1	397.0
5nwtM1.pdb1	5nwtD1.pdb1	1569.4
5nwtM1.pdb1	5nwtC1.pdb1	857.75
5nwtA1.pdb1	5nwtD1.pdb1	278.35
5nwtA1.pdb1	5nwtC1.pdb1	1147.6
5nwtA1.pdb1	5nwtB1.pdb1	889.35
5nwtD1.pdb1	5nwtC1.pdb1	6189.85
5nwtD1.pdb1	5nwtE1.pdb1	995.4
5nwtD1.pdb1	5nwtB1.pdb1	303.8
5nwtC1.pdb1	5nwtE1.pdb1	196.55
5nwtC1.pdb1	5nwtB1.pdb1	124.85
6nwjA1.pdb1	6nwjB1.pdb1	876.6
3nwxA1.pdb1	3nwxB1.pdb1	1556.8
4nwsA1.pdb1	4nwsB1.pdb1	1513.75
1nwoB1.pdb1	1nwoA1.pdb1	491.85
5nw0H1.pdb3	5nw0I1.pdb3	1015.85
5nw0H1.pdb3	5nw0G1.pdb3	1108.9
5nw0I1.pdb3	5nw0G1.pdb3	177.75
3nw8A2.pdb2	3nw8A3.pdb2	6184.95
3nw8A2.pdb2	3nw8A1.pdb2	6184.85
3nw8A3.pdb2	3nw8A1.pdb2	6185.0
2nw9B2.pdb1	2nw9A1.pdb1	391.05
2nw9B2.pdb1	2nw9B1.pdb1	1546.4
2nw9B2.pdb1	2nw9A2.pdb1	2931.45
2nw9A1.pdb1	2nw9B1.pdb1	2931.4
2nw9A1.pdb1	2nw9A2.pdb1	1457.3
2nw9B1.pdb1	2nw9A2.pdb1	391.0
2nwgA1.pdb1	2nwgB1.pdb1	938.55
6nw9A1.pdb1	6nw9B1.pdb1	4639.4
6nw9A1.pdb1	6nw9C1.pdb1	4669.1
6nw9B1.pdb1	6nw9C1.pdb1	4726.15
1nwwA1.pdb1	1nwwB1.pdb1	1549.6
3nwiD1.pdb1	3nwiC1.pdb1	690.7
3nwiD1.pdb1	3nwiE1.pdb1	728.5
3nwiC1.pdb1	3nwiA1.pdb1	696.45
3nwiA1.pdb1	3nwiB1.pdb1	723.15
3nwiB1.pdb1	3nwiE1.pdb1	696.05
5nwjP2.pdb1	5nwjA2.pdb1	528.0
5nwjP1.pdb1	5nwjA1.pdb1	528.0
5nwjA2.pdb1	5nwjA1.pdb1	1063.25
2nwqA1.pdb1	2nwqD1.pdb1	938.45
2nwqA1.pdb1	2nwqB1.pdb1	1940.1
2nwqA1.pdb1	2nwqC1.pdb1	1376.0
2nwqD1.pdb1	2nwqB1.pdb1	1365.2
2nwqD1.pdb1	2nwqC1.pdb1	1931.0
2nwqB1.pdb1	2nwqC1.pdb1	967.9
1nw4B1.pdb7	1nw4A1.pdb7	1978.0
3nwqB1.pdb1	3nwqA1.pdb1	1633.85
4nwoA1.pdb1	4nwoA2.pdb1	691.6
4nwoA1.pdb1	4nwoA3.pdb1	692.65
4nwoA1.pdb1	4nwoB1.pdb1	558.1
4nwoA8.pdb1	4nwoA7.pdb1	691.6
4nwoA8.pdb1	4nwoA9.pdb1	692.7
4nwoA8.pdb1	4nwoB8.pdb1	559.25
4nwoA10.pdb1	4nwoA12.pdb1	692.65
4nwoA10.pdb1	4nwoB10.pdb1	558.1
4nwoA10.pdb1	4nwoA11.pdb1	691.6
4nwoA7.pdb1	4nwoB7.pdb1	558.1
4nwoA7.pdb1	4nwoA9.pdb1	692.65
4nwoB5.pdb1	4nwoB10.pdb1	903.1
4nwoB5.pdb1	4nwoA5.pdb1	559.25
4nwoB5.pdb1	4nwoB9.pdb1	902.85
4nwoB12.pdb1	4nwoB7.pdb1	903.25
4nwoB12.pdb1	4nwoA12.pdb1	555.45
4nwoB12.pdb1	4nwoB2.pdb1	902.85
