3ut6B2.pdb1	3ut6A2.pdb1	100.85
3ut6B2.pdb1	3ut6C1.pdb1	103.7
3ut6A2.pdb1	3ut6C1.pdb1	84.05
5utyE1.pdb1	5utyB1.pdb1	136.85
5utyE1.pdb1	5utyD1.pdb1	1491.4
5utyE3.pdb1	5utyD3.pdb1	1491.3
5utyE3.pdb1	5utyB3.pdb1	136.85
5utyG3.pdb1	5utyH3.pdb1	261.0
5utyG3.pdb1	5utyD3.pdb1	258.8
5utyG3.pdb1	5utyL3.pdb1	340.55
5utyG3.pdb1	5utyB2.pdb1	64.35
5utyG3.pdb1	5utyB3.pdb1	2613.4
5utyG3.pdb1	5utyG1.pdb1	466.1
5utyG3.pdb1	5utyG2.pdb1	466.1
5utyH3.pdb1	5utyL3.pdb1	1952.7
5utyB1.pdb1	5utyB2.pdb1	934.25
5utyB1.pdb1	5utyD1.pdb1	385.65
5utyB1.pdb1	5utyB3.pdb1	934.25
5utyB1.pdb1	5utyG1.pdb1	2613.3
5utyB1.pdb1	5utyG2.pdb1	64.35
5utyD3.pdb1	5utyB3.pdb1	385.65
5utyL2.pdb1	5utyH2.pdb1	1952.7
5utyL2.pdb1	5utyG2.pdb1	340.5
5utyH1.pdb1	5utyG1.pdb1	260.95
5utyH1.pdb1	5utyL1.pdb1	1952.7
5utyB2.pdb1	5utyE2.pdb1	136.85
5utyB2.pdb1	5utyB3.pdb1	934.25
5utyB2.pdb1	5utyG2.pdb1	2613.35
5utyB2.pdb1	5utyD2.pdb1	385.65
5utyD1.pdb1	5utyG1.pdb1	258.8
5utyE2.pdb1	5utyD2.pdb1	1491.4
5utyB3.pdb1	5utyG1.pdb1	64.3
5utyG1.pdb1	5utyL1.pdb1	340.5
5utyG1.pdb1	5utyG2.pdb1	466.05
5utyH2.pdb1	5utyG2.pdb1	260.95
5utyG2.pdb1	5utyD2.pdb1	258.8
1ut4B1.pdb1	1ut4A1.pdb1	734.35
1utuB1.pdb1	1utuA1.pdb1	1236.95
1ut2G1.pdb3	1ut2H1.pdb3	676.65
1ut2G1.pdb3	1ut2F1.pdb3	624.25
1ut2H1.pdb3	1ut2F1.pdb3	666.55
3utsD1.pdb1	3utsE1.pdb1	2289.8
3utsD1.pdb1	3utsA1.pdb1	233.6
3utsD1.pdb1	3utsC1.pdb1	163.4
3utsE1.pdb1	3utsA1.pdb1	279.1
3utsE1.pdb1	3utsC1.pdb1	129.9
3utsA1.pdb1	3utsB1.pdb1	1319.95
3utsA1.pdb1	3utsC1.pdb1	765.4
3utzF2.pdb4	3utzB1.pdb4	25.3
3utzF2.pdb4	3utzC2.pdb4	402.35
3utzF2.pdb4	3utzA1.pdb4	41.6
3utzF2.pdb4	3utzD2.pdb4	72.7
3utzF2.pdb4	3utzE2.pdb4	1596.9
3utzB1.pdb4	3utzA1.pdb4	1728.35
3utzB1.pdb4	3utzE2.pdb4	56.35
3utzC2.pdb4	3utzD2.pdb4	1620.5
3utzC2.pdb4	3utzE2.pdb4	126.9
3utzA1.pdb4	3utzD2.pdb4	51.45
3utzA1.pdb4	3utzE2.pdb4	37.1
1ut1D1.pdb1	1ut1A1.pdb1	670.2
1ut1D1.pdb1	1ut1E1.pdb1	687.1
1ut1A1.pdb1	1ut1E1.pdb1	687.7
5utrA1.pdb3	5utrB1.pdb3	1705.65
4uttA1.pdb1	4uttD1.pdb1	1595.65
4utwB1.pdb2	4utwC2.pdb2	1625.8
1uttA1.pdb1	1uttA2.pdb1	523.05
1uttA1.pdb1	1uttA4.pdb1	382.15
1uttA1.pdb1	1uttA3.pdb1	522.15
1uttA2.pdb1	1uttA3.pdb1	522.9
1uttA2.pdb1	1uttA5.pdb1	385.05
1uttA4.pdb1	1uttA6.pdb1	523.0
1uttA4.pdb1	1uttA5.pdb1	522.2
1uttA6.pdb1	1uttA3.pdb1	385.0
1uttA6.pdb1	1uttA5.pdb1	522.8
3uteA1.pdb1	3uteC1.pdb1	1147.25
3uteA1.pdb1	3uteD1.pdb1	890.7
3uteA1.pdb1	3uteB1.pdb1	42.1
3uteC1.pdb1	3uteD1.pdb1	41.4
3uteC1.pdb1	3uteB1.pdb1	893.35
3uteD1.pdb1	3uteB1.pdb1	1130.6
1utcP1.pdb1	1utcA1.pdb1	453.6
4ut9B1.pdb2	4ut9I1.pdb2	426.6
4ut9B1.pdb2	4ut9M1.pdb2	402.0
4ut9I1.pdb2	4ut9M1.pdb2	1004.2
4utgB1.pdb2	4utgB2.pdb2	1414.1
5utsG1.pdb1	5utsH1.pdb1	3002.5
4ut6L1.pdb1	4ut6H1.pdb1	1078.85
4ut6L1.pdb1	4ut6A1.pdb1	61.7
4ut6H1.pdb1	4ut6A1.pdb1	538.3
4ut5A1.pdb1	4ut5C1.pdb1	225.7
4ut5A1.pdb1	4ut5D1.pdb1	453.3
4ut5A1.pdb1	4ut5B1.pdb1	1301.05
4ut5C1.pdb1	4ut5D1.pdb1	1282.1
4ut5C1.pdb1	4ut5B1.pdb1	451.7
4ut5D1.pdb1	4ut5B1.pdb1	217.5
3uttJ1.pdb2	3uttH1.pdb2	137.4
3uttJ1.pdb2	3uttF1.pdb2	407.1
3uttJ1.pdb2	3uttI1.pdb2	2318.35
3uttH1.pdb2	3uttF1.pdb2	736.65
3uttH1.pdb2	3uttI1.pdb2	143.65
3uttF1.pdb2	3uttG1.pdb2	1299.75
3uttF1.pdb2	3uttI1.pdb2	150.3
5utsE1.pdb3	5utsF1.pdb3	2963.05
1utgA1.pdb1	1utgA2.pdb1	1485.2
4ut9J1.pdb4	4ut9N1.pdb4	999.7
4ut9J1.pdb4	4ut9D1.pdb4	428.8
4ut9N1.pdb4	4ut9D1.pdb4	397.1
1utyB1.pdb1	1utyA1.pdb1	1915.4
4ut0I1.pdb2	4ut0G1.pdb2	222.95
4ut0I1.pdb2	4ut0F1.pdb2	1013.75
4ut0I1.pdb2	4ut0J1.pdb2	97.3
4ut0I1.pdb2	4ut0H1.pdb2	610.5
4ut0G1.pdb2	4ut0F1.pdb2	788.15
4ut0G1.pdb2	4ut0J1.pdb2	524.15
4ut0G1.pdb2	4ut0H1.pdb2	113.95
4ut0F1.pdb2	4ut0J1.pdb2	325.05
4ut0F1.pdb2	4ut0H1.pdb2	520.8
4ut0J1.pdb2	4ut0H1.pdb2	9.05
3ut1A1.pdb1	3ut1A2.pdb1	727.6
4ut0A1.pdb3	4ut0E1.pdb3	321.1
4ut0A1.pdb3	4ut0C1.pdb3	457.65
4ut0A1.pdb3	4ut0B1.pdb3	767.4
4ut0A1.pdb3	4ut0D1.pdb3	964.2
4ut0E1.pdb3	4ut0C1.pdb3	7.85
4ut0E1.pdb3	4ut0B1.pdb3	526.4
4ut0E1.pdb3	4ut0D1.pdb3	102.1
4ut0C1.pdb3	4ut0B1.pdb3	112.8
4ut0C1.pdb3	4ut0D1.pdb3	616.9
4ut0B1.pdb3	4ut0D1.pdb3	221.35
4ut0L1.pdb1	4ut0O1.pdb1	526.45
4ut0L1.pdb1	4ut0K1.pdb1	757.3
4ut0L1.pdb1	4ut0N1.pdb1	223.55
4ut0L1.pdb1	4ut0M1.pdb1	109.9
4ut0O1.pdb1	4ut0K1.pdb1	331.55
4ut0O1.pdb1	4ut0N1.pdb1	99.5
4ut0O1.pdb1	4ut0M1.pdb1	6.45
4ut0K1.pdb1	4ut0N1.pdb1	955.7
4ut0K1.pdb1	4ut0M1.pdb1	530.65
4ut0N1.pdb1	4ut0M1.pdb1	610.85
3utsJ1.pdb2	3utsF1.pdb2	305.0
3utsJ1.pdb2	3utsI1.pdb2	2267.6
3utsJ1.pdb2	3utsH1.pdb2	129.2
3utsG1.pdb2	3utsF1.pdb2	1306.35
3utsF1.pdb2	3utsI1.pdb2	246.8
3utsF1.pdb2	3utsH1.pdb2	763.4
3utsI1.pdb2	3utsH1.pdb2	169.75
3utzF1.pdb3	3utzE1.pdb3	1596.95
3utqB1.pdb1	3utqA1.pdb1	1340.8
3utqA1.pdb1	3utqC1.pdb1	786.55
4utrC1.pdb1	4utrA1.pdb1	454.6
4utqZ1.pdb1	4utqA1.pdb1	145.65
5utiA2.pdb1	5utiA1.pdb1	1633.9
3utgD1.pdb1	3utgC1.pdb1	41.4
3utgD1.pdb1	3utgA1.pdb1	898.05
3utgD1.pdb1	3utgB1.pdb1	1162.85
3utgC1.pdb1	3utgA1.pdb1	1155.25
3utgC1.pdb1	3utgB1.pdb1	898.0
3utgA1.pdb1	3utgB1.pdb1	50.35
4utaA1.pdb2	4utaL1.pdb2	242.9
4utaA1.pdb2	4utaH1.pdb2	92.1
4utaL1.pdb2	4utaH1.pdb2	1716.5
3utpK1.pdb2	3utpL1.pdb2	2228.25
1uthA1.pdb1	1uthB1.pdb1	1503.8
3ut7A1.pdb1	3ut7A2.pdb1	929.0
4utbB1.pdb1	4utbM1.pdb1	58.8
4utbB1.pdb1	4utbI1.pdb1	520.75
4utbM1.pdb1	4utbI1.pdb1	1917.15
5utzJ1.pdb4	5utzI1.pdb4	600.95
