3ghzB1.pdb1	3ghzA1.pdb1	1025.3
4gh6A1.pdb1	4gh6B1.pdb1	1013.1
3ghqH1.pdb1	3ghqI2.pdb1	58.8
3ghqH1.pdb1	3ghqD1.pdb1	553.15
3ghqH1.pdb1	3ghqC1.pdb1	518.15
3ghqH1.pdb1	3ghqG1.pdb1	902.2
3ghqH1.pdb1	3ghqB1.pdb1	512.35
3ghqH1.pdb1	3ghqE2.pdb1	552.25
3ghqG2.pdb1	3ghqL2.pdb1	510.5
3ghqG2.pdb1	3ghqJ2.pdb1	57.6
3ghqG2.pdb1	3ghqH2.pdb1	902.2
3ghqG2.pdb1	3ghqE1.pdb1	515.75
3ghqG2.pdb1	3ghqK2.pdb1	550.9
3ghqG2.pdb1	3ghqB2.pdb1	561.55
3ghqA2.pdb1	3ghqD1.pdb1	510.35
3ghqA2.pdb1	3ghqJ2.pdb1	517.15
3ghqA2.pdb1	3ghqC1.pdb1	558.4
3ghqA2.pdb1	3ghqA1.pdb1	63.7
3ghqA2.pdb1	3ghqB2.pdb1	898.45
3ghqA2.pdb1	3ghqC2.pdb1	555.5
3ghqL2.pdb1	3ghqF1.pdb1	563.65
3ghqL2.pdb1	3ghqL1.pdb1	64.6
3ghqL2.pdb1	3ghqE1.pdb1	510.3
3ghqL2.pdb1	3ghqK2.pdb1	901.2
3ghqL2.pdb1	3ghqF2.pdb1	546.2
3ghqJ1.pdb1	3ghqK1.pdb1	560.2
3ghqJ1.pdb1	3ghqD2.pdb1	514.7
3ghqJ1.pdb1	3ghqI1.pdb1	897.05
3ghqJ1.pdb1	3ghqG1.pdb1	57.6
3ghqJ1.pdb1	3ghqB1.pdb1	550.95
3ghqJ1.pdb1	3ghqA1.pdb1	517.15
3ghqK1.pdb1	3ghqF1.pdb1	515.1
3ghqK1.pdb1	3ghqL1.pdb1	901.2
3ghqK1.pdb1	3ghqI1.pdb1	509.5
3ghqK1.pdb1	3ghqG1.pdb1	550.9
3ghqK1.pdb1	3ghqB1.pdb1	64.55
3ghqF1.pdb1	3ghqL1.pdb1	546.2
3ghqF1.pdb1	3ghqE1.pdb1	897.8
3ghqF1.pdb1	3ghqI1.pdb1	511.8
3ghqF1.pdb1	3ghqF2.pdb1	55.5
3ghqD2.pdb1	3ghqH2.pdb1	553.15
3ghqD2.pdb1	3ghqE1.pdb1	59.0
3ghqD2.pdb1	3ghqI1.pdb1	556.9
3ghqD2.pdb1	3ghqA1.pdb1	510.4
3ghqD2.pdb1	3ghqC2.pdb1	902.6
3ghqL1.pdb1	3ghqG1.pdb1	510.5
3ghqL1.pdb1	3ghqE2.pdb1	510.25
3ghqL1.pdb1	3ghqF2.pdb1	563.65
3ghqI2.pdb1	3ghqD1.pdb1	556.85
3ghqI2.pdb1	3ghqJ2.pdb1	897.05
3ghqI2.pdb1	3ghqK2.pdb1	509.5
3ghqI2.pdb1	3ghqE2.pdb1	555.4
3ghqI2.pdb1	3ghqF2.pdb1	511.85
3ghqD1.pdb1	3ghqJ2.pdb1	514.7
3ghqD1.pdb1	3ghqC1.pdb1	902.55
3ghqD1.pdb1	3ghqE2.pdb1	58.9
3ghqJ2.pdb1	3ghqK2.pdb1	560.2
3ghqJ2.pdb1	3ghqB2.pdb1	550.95
3ghqH2.pdb1	3ghqE1.pdb1	552.25
3ghqH2.pdb1	3ghqI1.pdb1	58.75
3ghqH2.pdb1	3ghqB2.pdb1	512.35
3ghqH2.pdb1	3ghqC2.pdb1	518.15
