5e4wE1.pdb2	5e4wB1.pdb2	50.15
5e4wC1.pdb2	5e4wB1.pdb2	530.35
5e4wC1.pdb2	5e4wA1.pdb2	175.35
5e4wB1.pdb2	5e4wD1.pdb2	134.65
5e4wB1.pdb2	5e4wA1.pdb2	567.85
5e4wD1.pdb2	5e4wA1.pdb2	483.0
5e4wD1.pdb2	5e4wF1.pdb2	749.9
3e4pA1.pdb1	3e4pB1.pdb1	1130.3
4e4gH1.pdb2	4e4gE1.pdb2	775.6
4e4gH1.pdb2	4e4gF1.pdb2	1542.0
4e4gH1.pdb2	4e4gG1.pdb2	2391.5
4e4gE1.pdb2	4e4gF1.pdb2	2421.85
4e4gE1.pdb2	4e4gG1.pdb2	1367.2
4e4gF1.pdb2	4e4gG1.pdb2	748.5
4e45D1.pdb1	4e45E1.pdb1	1253.1
4e45D1.pdb1	4e45C1.pdb1	2285.4
4e45D1.pdb1	4e45B1.pdb1	137.85
4e45E1.pdb1	4e45C1.pdb1	1186.45
4e45E1.pdb1	4e45A1.pdb1	1178.05
4e45E1.pdb1	4e45B1.pdb1	1031.8
4e45C1.pdb1	4e45A1.pdb1	578.65
4e45C1.pdb1	4e45B1.pdb1	11.9
4e45A1.pdb1	4e45B1.pdb1	2254.2
4e4dR3.pdb2	4e4dX2.pdb2	585.6
4e4dR3.pdb2	4e4dX3.pdb2	583.05
4e4dX2.pdb2	4e4dX3.pdb2	1002.3
4e4dX2.pdb2	4e4dR2.pdb2	583.15
4e4dX2.pdb2	4e4dX1.pdb2	1002.3
4e4dX3.pdb2	4e4dX1.pdb2	1002.25
4e4dX3.pdb2	4e4dR1.pdb2	585.55
4e4dR2.pdb2	4e4dX1.pdb2	585.55
4e4dX1.pdb2	4e4dR1.pdb2	583.1
1e4mM1.pdb1	1e4mM2.pdb1	953.3
3e4oA2.pdb1	3e4oA1.pdb1	559.6
3e4dA1.pdb1	3e4dB1.pdb1	1043.7
6e4pJ1.pdb1	6e4pC1.pdb1	339.3
4e4kB2.pdb2	4e4kA1.pdb2	1046.7
3e4fA1.pdb1	3e4fB1.pdb1	1329.5
1e4dA1.pdb1	1e4dC1.pdb1	1319.75
1e4aP2.pdb1	1e4aP4.pdb1	980.8
1e4aP2.pdb1	1e4aP1.pdb1	980.8
1e4aP3.pdb1	1e4aP4.pdb1	980.8
1e4aP3.pdb1	1e4aP1.pdb1	980.8
2e4aC1.pdb3	2e4aB1.pdb3	668.15
2e4aC1.pdb3	2e4aD1.pdb3	1641.3
2e4aB1.pdb3	2e4aA1.pdb3	1650.55
2e4aA1.pdb3	2e4aD1.pdb3	698.05
1e4xP1.pdb1	1e4xL1.pdb1	359.4
1e4xP1.pdb1	1e4xH1.pdb1	204.35
1e4xL1.pdb1	1e4xH1.pdb1	1805.65
1e4xQ1.pdb2	1e4xM1.pdb2	354.0
1e4xQ1.pdb2	1e4xI1.pdb2	214.1
1e4xM1.pdb2	1e4xI1.pdb2	1672.4
6e4zL1.pdb1	6e4zP1.pdb1	162.8
6e4zL1.pdb1	6e4zH1.pdb1	1526.4
6e4zP1.pdb1	6e4zH1.pdb1	344.5
4e4qA1.pdb1	4e4qB1.pdb1	860.2
2e4zA2.pdb1	2e4zA1.pdb1	702.4
4e4dX3.pdb1	4e4dX1.pdb1	1002.3
4e4dX3.pdb1	4e4dR3.pdb1	583.15
4e4dX3.pdb1	4e4dX2.pdb1	1002.3
4e4dR2.pdb1	4e4dX1.pdb1	585.55
4e4dR2.pdb1	4e4dX2.pdb1	583.1
4e4dX1.pdb1	4e4dX2.pdb1	1002.25
4e4dR3.pdb1	4e4dX2.pdb1	585.55
3e4uC1.pdb2	3e4uD1.pdb2	1671.3
4e4tB1.pdb1	4e4tA1.pdb1	1486.6
2e4oA1.pdb1	2e4oC1.pdb1	578.8
2e4oA1.pdb1	2e4oD1.pdb1	836.0
2e4oA1.pdb1	2e4oB1.pdb1	400.05
2e4oC1.pdb1	2e4oD1.pdb1	339.65
2e4oC1.pdb1	2e4oB1.pdb1	830.1
2e4oD1.pdb1	2e4oB1.pdb1	514.7
5e4nA2.pdb1	5e4nB2.pdb1	1700.0
5e4nA2.pdb1	5e4nA1.pdb1	991.3
