6msxA11.pdb1	6msxA14.pdb1	1375.3
6msxA4.pdb1	6msxA14.pdb1	586.7
3msyF1.pdb1	3msyA1.pdb1	996.6
3msyF1.pdb1	3msyE1.pdb1	1048.7
3msyF1.pdb1	3msyB1.pdb1	442.95
3msyF1.pdb1	3msyC1.pdb1	443.0
3msyA1.pdb1	3msyE1.pdb1	446.85
3msyA1.pdb1	3msyB1.pdb1	1041.8
3msyA1.pdb1	3msyD1.pdb1	438.7
3msyE1.pdb1	3msyD1.pdb1	440.85
3msyE1.pdb1	3msyC1.pdb1	998.85
3msyB1.pdb1	3msyD1.pdb1	973.45
3msyB1.pdb1	3msyC1.pdb1	444.4
3msyD1.pdb1	3msyC1.pdb1	1054.65
3msoB2.pdb1	3msoB1.pdb1	626.2
3msoB2.pdb1	3msoA2.pdb1	1135.3
3msoB2.pdb1	3msoA1.pdb1	151.15
3msoB1.pdb1	3msoA2.pdb1	151.15
3msoB1.pdb1	3msoA1.pdb1	1135.3
3msoA2.pdb1	3msoA1.pdb1	66.3
5msbA1.pdb1	5msbB1.pdb1	1075.25
2ms6C1.pdb1	2ms6A1.pdb1	130.75
2ms6C1.pdb1	2ms6B1.pdb1	357.3
2ms6C1.pdb1	2ms6D1.pdb1	283.55
2ms6A1.pdb1	2ms6B1.pdb1	279.35
2ms6A1.pdb1	2ms6D1.pdb1	363.5
2ms6B1.pdb1	2ms6D1.pdb1	30.75
5msaC1.pdb2	5msaD1.pdb2	1036.3
4ms1A1.pdb1	4ms1B1.pdb1	721.95
3msrA2.pdb3	3msrA3.pdb3	865.85
3msrA2.pdb3	3msrA1.pdb3	865.9
3msrA3.pdb3	3msrA1.pdb3	865.85
1msdB2.pdb1	1msdA2.pdb1	900.35
1msdB2.pdb1	1msdA1.pdb1	294.4
1msdB2.pdb1	1msdB1.pdb1	939.0
1msdA2.pdb1	1msdA1.pdb1	923.1
1msdA2.pdb1	1msdB1.pdb1	294.4
1msdA1.pdb1	1msdB1.pdb1	900.35
3msrA1.pdb2	3msrA3.pdb2	865.85
3msrA1.pdb2	3msrA2.pdb2	865.9
3msrA1.pdb2	3msrA5.pdb2	951.9
3msrA3.pdb2	3msrA6.pdb2	951.9
3msrA3.pdb2	3msrA2.pdb2	865.85
3msrA6.pdb2	3msrA4.pdb2	865.9
3msrA6.pdb2	3msrA5.pdb2	865.9
3msrA2.pdb2	3msrA4.pdb2	951.85
3msrA4.pdb2	3msrA5.pdb2	865.95
5msaB1.pdb1	5msaA1.pdb1	990.55
4mswB1.pdb1	4mswA1.pdb1	1789.55
6msmB1.pdb1	6msmA1.pdb1	609.9
1mssB1.pdb1	1mssA1.pdb1	1049.25
5msjU1.pdb3	5msjO1.pdb3	1928.15
5msjU1.pdb3	5msjT1.pdb3	1926.75
5msjO1.pdb3	5msjP1.pdb3	1986.1
5msjQ1.pdb3	5msjP1.pdb3	1848.7
5msjQ1.pdb3	5msjR1.pdb3	1828.05
5msjS1.pdb3	5msjR1.pdb3	1953.85
5msjS1.pdb3	5msjT1.pdb3	2008.75
6msaA1.pdb3	6msaB1.pdb3	1069.75
2msrB1.pdb1	2msrA1.pdb1	300.85
5ms7A2.pdb1	5ms7A1.pdb1	1476.9
1mswD1.pdb1	1mswT1.pdb1	1037.3
1mswD1.pdb1	1mswN1.pdb1	981.45
1mswD1.pdb1	1mswR1.pdb1	913.8
1mswT1.pdb1	1mswN1.pdb1	504.5
1mswT1.pdb1	1mswR1.pdb1	350.6
1mswN1.pdb1	1mswR1.pdb1	0.7
3ms6A2.pdb1	3ms6A1.pdb1	846.1
1mspB2.pdb1	1mspA2.pdb1	613.2
1mspA1.pdb1	1mspB1.pdb1	613.2
1mspA1.pdb1	1mspA2.pdb1	554.8
2ms4B1.pdb1	2ms4A1.pdb1	478.95
6msqB2.pdb2	6msqB3.pdb2	1143.05
6msqB2.pdb2	6msqB1.pdb2	1143.05
6msqB3.pdb2	6msqB1.pdb2	1143.0
4msoB1.pdb1	4msoA1.pdb1	3034.4
3msqD1.pdb6	3msqD2.pdb6	1128.7
5ms4H1.pdb4	5ms4D1.pdb4	249.95
5msjB1.pdb1	5msjA1.pdb1	1926.2
5msjB1.pdb1	5msjC1.pdb1	1871.3
5msjG1.pdb1	5msjA1.pdb1	2049.25
5msjG1.pdb1	5msjF1.pdb1	1954.8
5msjE1.pdb1	5msjD1.pdb1	2145.45
5msjE1.pdb1	5msjF1.pdb1	1846.25
5msjD1.pdb1	5msjC1.pdb1	1899.85
3ms7A2.pdb1	3ms7A1.pdb1	2272.25
4mswC1.pdb2	4mswC3.pdb2	1087.9
4mswC1.pdb2	4mswC2.pdb2	51.8
4mswC1.pdb2	4mswC4.pdb2	1087.9
4mswC3.pdb2	4mswC2.pdb2	1087.9
4mswC3.pdb2	4mswC4.pdb2	51.8
4mswC2.pdb2	4mswC4.pdb2	1087.9
5ms0B1.pdb1	5ms0D1.pdb1	113.2
5ms0B1.pdb1	5ms0A1.pdb1	709.15
5ms0B1.pdb1	5ms0C1.pdb1	57.25
5ms0M1.pdb1	5ms0R1.pdb1	557.7
5ms0M1.pdb1	5ms0E1.pdb1	144.2
5ms0M1.pdb1	5ms0C1.pdb1	167.2
5ms0M1.pdb1	5ms0F1.pdb1	67.0
5ms0M1.pdb1	5ms0N1.pdb1	843.3
5ms0D1.pdb1	5ms0O1.pdb1	814.45
5ms0D1.pdb1	5ms0C1.pdb1	3425.1
5ms0D1.pdb1	5ms0F1.pdb1	225.3
5ms0D1.pdb1	5ms0I1.pdb1	238.05
5ms0D1.pdb1	5ms0H1.pdb1	308.0
5ms0D1.pdb1	5ms0J1.pdb1	767.85
5ms0R1.pdb1	5ms0E1.pdb1	1.0
5ms0R1.pdb1	5ms0L1.pdb1	604.85
5ms0R1.pdb1	5ms0N1.pdb1	384.1
5ms0E1.pdb1	5ms0F1.pdb1	210.45
5ms0E1.pdb1	5ms0L1.pdb1	317.55
5ms0E1.pdb1	5ms0N1.pdb1	159.95
5ms0A1.pdb1	5ms0C1.pdb1	414.9
5ms0O1.pdb1	5ms0C1.pdb1	38.1
5ms0C1.pdb1	5ms0I1.pdb1	81.35
5ms0C1.pdb1	5ms0N1.pdb1	75.0
5ms0C1.pdb1	5ms0H1.pdb1	535.85
5ms0C1.pdb1	5ms0J1.pdb1	360.95
5ms0F1.pdb1	5ms0I1.pdb1	215.85
5ms0F1.pdb1	5ms0J1.pdb1	90.2
5ms0I1.pdb1	5ms0J1.pdb1	1243.65
5ms0H1.pdb1	5ms0J1.pdb1	412.7
3msqB1.pdb3	3msqC1.pdb3	481.7
3msqB1.pdb3	3msqC2.pdb3	256.9
3msqB1.pdb3	3msqB2.pdb3	1117.6
3msqC1.pdb3	3msqC2.pdb3	1124.3
3msqC1.pdb3	3msqB2.pdb3	256.9
3msqC2.pdb3	3msqB2.pdb3	481.7
6ms2A1.pdb1	6ms2A2.pdb1	1113.3
6ms4B1.pdb1	6ms4A1.pdb1	805.2
5ms1A1.pdb1	5ms1B1.pdb1	1789.4
5mseC1.pdb1	5mseA1.pdb1	749.85
5mseC1.pdb1	5mseB1.pdb1	733.3
5mseA1.pdb1	5mseD1.pdb1	722.1
5mseB1.pdb1	5mseD1.pdb1	731.4
3msxA1.pdb1	3msxB1.pdb1	1195.2
1ms7B2.pdb2	1ms7B1.pdb2	873.0
2ms5A1.pdb1	2ms5S1.pdb1	453.5
1mscA1.pdb1	1mscA2.pdb1	3495.1
4ms3B1.pdb1	4ms3A1.pdb1	1387.85
1msnA1.pdb1	1msnB1.pdb1	1832.6
4msbA1.pdb1	4msbB1.pdb1	539.9
