3j9bD1.pdb1	3j9bE1.pdb1	116.7
3j9bD1.pdb1	3j9bA1.pdb1	80.3
3j9bJ1.pdb1	3j9bB1.pdb1	0.05
3j9bJ1.pdb1	3j9bI1.pdb1	121.85
3j9bJ1.pdb1	3j9bA1.pdb1	116.4
3j9bH1.pdb1	3j9bL1.pdb1	42.35
3j9bH1.pdb1	3j9bC1.pdb1	116.55
3j9bH1.pdb1	3j9bI1.pdb1	3378.9
3j9bH1.pdb1	3j9bK1.pdb1	80.7
3j9bH1.pdb1	3j9bA1.pdb1	157.9
3j9bB1.pdb1	3j9bE1.pdb1	0.05
3j9bB1.pdb1	3j9bL1.pdb1	0.05
3j9bB1.pdb1	3j9bC1.pdb1	122.1
3j9bB1.pdb1	3j9bI1.pdb1	0.05
3j9bB1.pdb1	3j9bK1.pdb1	0.05
3j9bB1.pdb1	3j9bA1.pdb1	3378.75
3j9bE1.pdb1	3j9bA1.pdb1	85.05
3j9bL1.pdb1	3j9bK1.pdb1	160.75
4j9uE1.pdb1	4j9uB1.pdb1	534.75
4j9uE1.pdb1	4j9uH1.pdb1	836.55
4j9uE1.pdb1	4j9uF1.pdb1	882.7
4j9uE1.pdb1	4j9uA1.pdb1	163.95
4j9uB1.pdb1	4j9uG1.pdb1	157.55
4j9uB1.pdb1	4j9uH1.pdb1	54.45
4j9uB1.pdb1	4j9uF1.pdb1	22.85
4j9uB1.pdb1	4j9uA1.pdb1	2151.65
4j9uG1.pdb1	4j9uH1.pdb1	907.15
4j9uG1.pdb1	4j9uF1.pdb1	853.65
4j9uG1.pdb1	4j9uA1.pdb1	535.75
4j9uH1.pdb1	4j9uA1.pdb1	18.4
4j9uF1.pdb1	4j9uA1.pdb1	46.6
5j9gA1.pdb1	5j9gB1.pdb1	381.65
5j9gA1.pdb1	5j9gA2.pdb1	1986.0
5j9gA1.pdb1	5j9gB2.pdb1	1349.0
5j9gB1.pdb1	5j9gA2.pdb1	1349.0
5j9gB1.pdb1	5j9gB2.pdb1	1991.0
5j9gA2.pdb1	5j9gB2.pdb1	381.65
4j9gE1.pdb3	4j9gF1.pdb3	471.35
1j9kB3.pdb2	1j9kA1.pdb2	470.05
1j9kB3.pdb2	1j9kA2.pdb2	234.7
1j9kB3.pdb2	1j9kB4.pdb2	3579.4
1j9kA1.pdb2	1j9kA2.pdb2	3481.6
1j9kA1.pdb2	1j9kB4.pdb2	234.75
1j9kA2.pdb2	1j9kB4.pdb2	470.05
4j9yB2.pdb1	4j9yR1.pdb1	1188.2
4j9yB2.pdb1	4j9yR2.pdb1	1281.45
4j9yB2.pdb1	4j9yB1.pdb1	1659.5
4j9yR1.pdb1	4j9yB1.pdb1	1281.45
4j9yR2.pdb1	4j9yB1.pdb1	1188.2
4j90B3.pdb1	4j90A3.pdb1	2279.05
4j90B3.pdb1	4j90B1.pdb1	0.7
4j90B3.pdb1	4j90A2.pdb1	700.65
4j90B3.pdb1	4j90B2.pdb1	0.7
4j90A1.pdb1	4j90B1.pdb1	2279.05
4j90A1.pdb1	4j90B4.pdb1	700.65
4j90A3.pdb1	4j90B1.pdb1	700.65
4j90A4.pdb1	4j90B4.pdb1	2279.05
4j90A4.pdb1	4j90B2.pdb1	700.65
4j90B1.pdb1	4j90B4.pdb1	0.7
4j90A2.pdb1	4j90B2.pdb1	2279.05
4j90B4.pdb1	4j90B2.pdb1	0.7
4j9hF1.pdb6	4j9hI1.pdb6	481.35
2j9qB1.pdb1	2j9qA1.pdb1	1076.15
2j9hA1.pdb1	2j9hB1.pdb1	1151.05
4j9gD1.pdb2	4j9gC1.pdb2	489.25
3j9pB1.pdb1	3j9pD1.pdb1	212.4
3j9pB1.pdb1	3j9pC1.pdb1	3229.2
3j9pB1.pdb1	3j9pA1.pdb1	3232.7
3j9pD1.pdb1	3j9pC1.pdb1	3201.5
3j9pD1.pdb1	3j9pA1.pdb1	3237.75
3j9pC1.pdb1	3j9pA1.pdb1	212.7
6j9hC1.pdb2	6j9hD1.pdb2	1082.15
5j9rC1.pdb1	5j9rD1.pdb1	1686.65
5j9rC1.pdb1	5j9rA1.pdb1	198.85
5j9rC1.pdb1	5j9rB1.pdb1	491.4
5j9rD1.pdb1	5j9rA1.pdb1	490.0
5j9rD1.pdb1	5j9rB1.pdb1	215.85
5j9rA1.pdb1	5j9rB1.pdb1	1718.65
5j9wJ1.pdb3	5j9wK1.pdb3	1633.6
5j9wJ1.pdb3	5j9wL1.pdb3	579.2
5j9wI1.pdb3	5j9wK1.pdb3	3053.95
5j9wI1.pdb3	5j9wL1.pdb3	174.65
5j9wK1.pdb3	5j9wL1.pdb3	2773.0
6j91B1.pdb1	6j91A1.pdb1	985.1
5j9wF1.pdb1	5j9wH1.pdb1	587.7
5j9wF1.pdb1	5j9wG1.pdb1	1621.75
5j9wH1.pdb1	5j9wG1.pdb1	2798.9
5j9wH1.pdb1	5j9wE1.pdb1	139.9
5j9wG1.pdb1	5j9wE1.pdb1	2977.05
1j9lA1.pdb1	1j9lB1.pdb1	287.15
6j9aC1.pdb1	6j9aB1.pdb1	676.45
6j9aC1.pdb1	6j9aA1.pdb1	392.7
6j9aB1.pdb1	6j9aA1.pdb1	336.75
6j9hB1.pdb1	6j9hA1.pdb1	1084.1
5j92C1.pdb2	5j92B1.pdb2	1011.8
1j9bA2.pdb2	1j9bA1.pdb2	500.0
2j9zB2.pdb1	2j9zB1.pdb1	1508.8
2j9zB2.pdb1	2j9zA2.pdb1	1314.9
2j9zB1.pdb1	2j9zA1.pdb1	1314.9
4j9iA1.pdb1	4j9iB1.pdb1	476.65
