4rjfD3.pdb2	4rjfC3.pdb2	1082.0
2rj3A1.pdb1	2rj3C1.pdb1	208.25
2rj3A1.pdb1	2rj3E1.pdb1	1049.1
2rj3A1.pdb1	2rj3B1.pdb1	194.9
2rj3A1.pdb1	2rj3F1.pdb1	2089.75
2rj3C1.pdb1	2rj3D1.pdb1	1026.65
2rj3C1.pdb1	2rj3E1.pdb1	1985.25
2rj3C1.pdb1	2rj3B1.pdb1	199.4
2rj3D1.pdb1	2rj3E1.pdb1	200.1
2rj3D1.pdb1	2rj3B1.pdb1	2117.1
2rj3D1.pdb1	2rj3F1.pdb1	191.9
2rj3E1.pdb1	2rj3F1.pdb1	215.2
2rj3B1.pdb1	2rj3F1.pdb1	1017.9
2rjfD1.pdb3	2rjfB1.pdb3	357.15
2rjeB1.pdb3	2rjeQ1.pdb3	145.85
2rjeB1.pdb3	2rjeA1.pdb3	256.75
2rjeB1.pdb3	2rjeP1.pdb3	201.75
2rjeQ1.pdb3	2rjeA1.pdb3	169.55
2rjeQ1.pdb3	2rjeP1.pdb3	292.75
2rjeA1.pdb3	2rjeP1.pdb3	326.85
2rj4A2.pdb2	2rj4A1.pdb2	2529.8
1rjzB1.pdb1	1rjzA1.pdb1	1219.85
1rjzE1.pdb1	1rjzD1.pdb1	1184.8
1rjzP1.pdb1	1rjzA1.pdb1	876.95
1rjzD1.pdb1	1rjzQ1.pdb1	879.75
1rjzD1.pdb1	1rjzA1.pdb1	154.15
3rj9E1.pdb3	3rj9F1.pdb3	2552.7
1rjlD1.pdb1	1rjlC1.pdb1	214.75
1rjlB1.pdb1	1rjlC1.pdb1	427.55
1rjlB1.pdb1	1rjlA1.pdb1	1847.45
1rjlC1.pdb1	1rjlA1.pdb1	213.75
3rjzA1.pdb1	3rjzA2.pdb1	979.3
3rj1K1.pdb2	3rj1I1.pdb2	232.9
3rj1K1.pdb2	3rj1J1.pdb2	94.3
3rj1K1.pdb2	3rj1H1.pdb2	103.75
3rj1K1.pdb2	3rj1N1.pdb2	24.45
3rj1I1.pdb2	3rj1L1.pdb2	174.6
3rj1I1.pdb2	3rj1J1.pdb2	370.95
3rj1I1.pdb2	3rj1H1.pdb2	324.3
3rj1I1.pdb2	3rj1M1.pdb2	0.6
3rj1I1.pdb2	3rj1N1.pdb2	190.95
3rj1L1.pdb2	3rj1J1.pdb2	238.4
3rj1L1.pdb2	3rj1M1.pdb2	714.4
3rj1J1.pdb2	3rj1H1.pdb2	79.1
3rj1J1.pdb2	3rj1N1.pdb2	284.75
6rj3B1.pdb1	6rj3A1.pdb1	2569.25
3rjiA1.pdb1	3rjiD1.pdb1	381.95
3rjiA1.pdb1	3rjiT1.pdb1	578.7
3rjiA1.pdb1	3rjiP1.pdb1	370.9
3rjiD1.pdb1	3rjiT1.pdb1	230.0
3rjiT1.pdb1	3rjiP1.pdb1	465.3
1rj9B1.pdb1	1rj9A1.pdb1	1508.55
6rjgD1.pdb1	6rjgC1.pdb1	5828.15
6rjgD1.pdb1	6rjgE1.pdb1	920.85
6rjgD1.pdb1	6rjgA1.pdb1	520.25
6rjgG1.pdb1	6rjgC1.pdb1	594.1
6rjgG1.pdb1	6rjgE1.pdb1	585.35
6rjgC1.pdb1	6rjgB1.pdb1	499.9
6rjgC1.pdb1	6rjgE1.pdb1	1471.6
6rjgC1.pdb1	6rjgA1.pdb1	1229.8
6rjgB1.pdb1	6rjgA1.pdb1	1256.6
4rjtC2.pdb1	4rjtA2.pdb1	670.3
4rjtC2.pdb1	4rjtC1.pdb1	48.2
4rjtC2.pdb1	4rjtA1.pdb1	2682.45
4rjtC2.pdb1	4rjtB2.pdb1	695.95
4rjtA2.pdb1	4rjtC1.pdb1	2682.45
4rjtA2.pdb1	4rjtB1.pdb1	47.9
4rjtA2.pdb1	4rjtB2.pdb1	695.8
4rjtC1.pdb1	4rjtB1.pdb1	696.0
4rjtC1.pdb1	4rjtA1.pdb1	670.3
4rjtB1.pdb1	4rjtA1.pdb1	695.8
4rjtB1.pdb1	4rjtB2.pdb1	2695.9
4rjtA1.pdb1	4rjtB2.pdb1	47.9
3rjtA1.pdb1	3rjtB1.pdb1	948.35
6rjbA1.pdb1	6rjbB1.pdb1	3962.2
3rjkT1.pdb1	3rjkP1.pdb1	449.55
3rjkT1.pdb1	3rjkD1.pdb1	231.35
3rjkT1.pdb1	3rjkA1.pdb1	656.4
3rjkP1.pdb1	3rjkA1.pdb1	362.4
3rjkD1.pdb1	3rjkA1.pdb1	378.0
4rjeD1.pdb1	4rjeA1.pdb1	1714.9
4rjeD1.pdb1	4rjeB1.pdb1	1725.15
4rjeD1.pdb1	4rjeC1.pdb1	0.7
4rjeA1.pdb1	4rjeB1.pdb1	2.8
4rjeA1.pdb1	4rjeC1.pdb1	1723.65
4rjeB1.pdb1	4rjeC1.pdb1	1725.65
3rjfP1.pdb1	3rjfT1.pdb1	456.45
3rjfP1.pdb1	3rjfA1.pdb1	380.3
3rjfT1.pdb1	3rjfD1.pdb1	231.55
3rjfT1.pdb1	3rjfA1.pdb1	563.1
3rjfD1.pdb1	3rjfA1.pdb1	373.85
3rj3D1.pdb1	3rj3A1.pdb1	872.6
2rjfD1.pdb2	2rjfC1.pdb2	139.9
2rjfD1.pdb2	2rjfB1.pdb2	357.15
2rjfD1.pdb2	2rjfA1.pdb2	244.5
2rjfC1.pdb2	2rjfB1.pdb2	336.6
2rjfC1.pdb2	2rjfA1.pdb2	112.55
2rjfB1.pdb2	2rjfA1.pdb2	138.35
6rjsB1.pdb1	6rjsA1.pdb1	2347.2
3rjhP1.pdb1	3rjhT1.pdb1	478.95
3rjhP1.pdb1	3rjhA1.pdb1	375.15
3rjhT1.pdb1	3rjhA1.pdb1	671.9
3rjhT1.pdb1	3rjhD1.pdb1	232.85
3rjhA1.pdb1	3rjhD1.pdb1	381.6
