6a87D1.pdb2	6a87F1.pdb2	649.0
6a87E1.pdb2	6a87F1.pdb2	618.9
1a8gB1.pdb1	1a8gA1.pdb1	1781.75
5a8mC1.pdb1	5a8mB1.pdb1	847.8
5a8mC1.pdb1	5a8mA1.pdb1	847.6
5a8mB1.pdb1	5a8mA1.pdb1	844.75
3a8jE1.pdb1	3a8jA1.pdb1	537.95
5a8rF1.pdb1	5a8rB1.pdb1	450.9
5a8rF1.pdb1	5a8rD1.pdb1	2459.25
5a8rF1.pdb1	5a8rA1.pdb1	554.15
5a8rF1.pdb1	5a8rE1.pdb1	2908.65
5a8rC1.pdb1	5a8rB1.pdb1	2908.55
5a8rC1.pdb1	5a8rD1.pdb1	572.55
5a8rC1.pdb1	5a8rA1.pdb1	2477.65
5a8rC1.pdb1	5a8rE1.pdb1	463.25
5a8rB1.pdb1	5a8rD1.pdb1	2209.85
5a8rB1.pdb1	5a8rA1.pdb1	1207.85
5a8rB1.pdb1	5a8rE1.pdb1	1861.2
5a8rD1.pdb1	5a8rA1.pdb1	5127.15
5a8rD1.pdb1	5a8rE1.pdb1	1200.85
5a8rA1.pdb1	5a8rE1.pdb1	2181.3
5a8jA2.pdb1	5a8jA1.pdb1	1404.35
3a8rB1.pdb1	3a8rA1.pdb1	2033.5
3a8yD1.pdb2	3a8yB1.pdb2	771.2
6a8nB1.pdb2	6a8nC1.pdb2	782.9
2a8sA1.pdb1	2a8sB1.pdb1	1324.7
4a8aA1.pdb1	4a8aE1.pdb1	369.15
4a8aA1.pdb1	4a8aC1.pdb1	51.45
4a8aA1.pdb1	4a8aB1.pdb1	74.85
4a8aA1.pdb1	4a8aL1.pdb1	508.9
4a8aE1.pdb1	4a8aD1.pdb1	45.95
4a8aE1.pdb1	4a8aF1.pdb1	124.25
4a8aE1.pdb1	4a8aL1.pdb1	341.55
4a8aC1.pdb1	4a8aH1.pdb1	335.45
4a8aC1.pdb1	4a8aB1.pdb1	34.7
4a8aC1.pdb1	4a8aJ1.pdb1	512.65
4a8aH1.pdb1	4a8aI1.pdb1	79.2
4a8aH1.pdb1	4a8aG1.pdb1	44.5
4a8aH1.pdb1	4a8aJ1.pdb1	402.8
4a8aH1.pdb1	4a8aM1.pdb1	62.8
4a8aI1.pdb1	4a8aG1.pdb1	23.55
4a8aI1.pdb1	4a8aD1.pdb1	502.85
4a8aI1.pdb1	4a8aB1.pdb1	343.7
4a8aG1.pdb1	4a8aK1.pdb1	366.35
4a8aG1.pdb1	4a8aF1.pdb1	521.7
4a8aG1.pdb1	4a8aM1.pdb1	73.2
4a8aK1.pdb1	4a8aJ1.pdb1	129.6
4a8aK1.pdb1	4a8aF1.pdb1	366.8
4a8aK1.pdb1	4a8aL1.pdb1	170.7
4a8aD1.pdb1	4a8aB1.pdb1	374.6
4a8aD1.pdb1	4a8aF1.pdb1	144.2
4a8aJ1.pdb1	4a8aL1.pdb1	144.4
4a8aJ1.pdb1	4a8aM1.pdb1	74.85
2a8fA1.pdb1	2a8fB1.pdb1	521.15
2a8tB1.pdb1	2a8tA1.pdb1	1340.75
5a86A1.pdb1	5a86B1.pdb1	773.5
5a86A1.pdb1	5a86C1.pdb1	602.4
5a86D1.pdb1	5a86B1.pdb1	643.4
5a8dA19.pdb1	5a8dA14.pdb1	259.15
5a8dA19.pdb1	5a8dA23.pdb1	132.0
5a8dA19.pdb1	5a8dA1.pdb1	809.9
5a8dA19.pdb1	5a8dA13.pdb1	808.3
5a8dA19.pdb1	5a8dA22.pdb1	260.2
5a8dA8.pdb1	5a8dA23.pdb1	259.1
5a8dA8.pdb1	5a8dA17.pdb1	130.1
5a8dA8.pdb1	5a8dA24.pdb1	808.15
5a8dA8.pdb1	5a8dA13.pdb1	261.2
5a8dA8.pdb1	5a8dA16.pdb1	808.15
5a8dA14.pdb1	5a8dA5.pdb1	808.2
5a8dA14.pdb1	5a8dA1.pdb1	130.1
5a8dA14.pdb1	5a8dA4.pdb1	808.2
5a8dA14.pdb1	5a8dA22.pdb1	261.2
5a8dA23.pdb1	5a8dA17.pdb1	809.85
5a8dA23.pdb1	5a8dA13.pdb1	260.25
5a8dA23.pdb1	5a8dA22.pdb1	808.3
5a8dA15.pdb1	5a8dA18.pdb1	259.15
5a8dA15.pdb1	5a8dA2.pdb1	132.0
5a8dA15.pdb1	5a8dA9.pdb1	260.2
5a8dA15.pdb1	5a8dA6.pdb1	808.3
5a8dA15.pdb1	5a8dA10.pdb1	809.9
