4lnhA6.pdb1	4lnhA5.pdb1	22.5
4lnhA6.pdb1	4lnhA4.pdb1	22.5
4lnhA6.pdb1	4lnhA1.pdb1	990.6
4lnhA6.pdb1	4lnhA2.pdb1	1369.55
4lnhA5.pdb1	4lnhA4.pdb1	22.5
4lnhA5.pdb1	4lnhA2.pdb1	990.55
4lnhA5.pdb1	4lnhA3.pdb1	1369.5
4lnhA4.pdb1	4lnhA1.pdb1	1369.55
4lnhA4.pdb1	4lnhA3.pdb1	990.5
4lnhA1.pdb1	4lnhA2.pdb1	22.55
4lnhA1.pdb1	4lnhA3.pdb1	22.55
4lnhA2.pdb1	4lnhA3.pdb1	22.5
4ln3D1.pdb3	4ln3C1.pdb3	2928.35
4ln6A1.pdb2	4ln6B1.pdb2	3010.85
5lnuA1.pdb1	5lnuD1.pdb1	881.8
5lnuA1.pdb1	5lnuB2.pdb1	1046.8
5lnuA1.pdb1	5lnuB1.pdb1	1065.3
5lnuA1.pdb1	5lnuC1.pdb1	419.9
5lnuD1.pdb1	5lnuB2.pdb1	446.95
5lnuD1.pdb1	5lnuC2.pdb1	1065.3
5lnuD1.pdb1	5lnuC1.pdb1	1054.9
5lnuB2.pdb1	5lnuA2.pdb1	1065.3
5lnuB2.pdb1	5lnuC2.pdb1	868.65
5lnuA2.pdb1	5lnuD2.pdb1	881.75
5lnuA2.pdb1	5lnuB3.pdb1	1046.8
5lnuA2.pdb1	5lnuC2.pdb1	419.95
5lnuD2.pdb1	5lnuB3.pdb1	446.9
5lnuD2.pdb1	5lnuC2.pdb1	1054.9
5lnuD2.pdb1	5lnuC3.pdb1	1065.3
5lnuD3.pdb1	5lnuB1.pdb1	446.95
5lnuD3.pdb1	5lnuA3.pdb1	881.85
5lnuD3.pdb1	5lnuC1.pdb1	1065.25
5lnuD3.pdb1	5lnuC3.pdb1	1054.95
5lnuB3.pdb1	5lnuA3.pdb1	1065.35
5lnuB3.pdb1	5lnuC3.pdb1	868.7
