4xd9A1.pdb1	4xd9B1.pdb1	2725.1
5xdxV1.pdb2	5xdxR1.pdb2	622.95
5xdxV1.pdb2	5xdxO1.pdb2	1481.95
5xdxV1.pdb2	5xdxN1.pdb2	102.95
5xdxX1.pdb2	5xdxQ1.pdb2	1460.95
5xdxX1.pdb2	5xdxZ1.pdb2	4.4
5xdxX1.pdb2	5xdxO1.pdb2	164.6
5xdxX1.pdb2	5xdxN1.pdb2	342.35
5xdxU1.pdb2	5xdxT1.pdb2	208.1
5xdxU1.pdb2	5xdxP1.pdb2	249.8
5xdxU1.pdb2	5xdxO1.pdb2	982.8
5xdxU1.pdb2	5xdxN1.pdb2	144.5
5xdxQ1.pdb2	5xdxS1.pdb2	147.0
5xdxQ1.pdb2	5xdxR1.pdb2	1286.85
5xdxQ1.pdb2	5xdxZ1.pdb2	333.45
5xdxQ1.pdb2	5xdxO1.pdb2	859.2
5xdxQ1.pdb2	5xdxN1.pdb2	1335.05
5xdxS1.pdb2	5xdxT1.pdb2	54.45
5xdxS1.pdb2	5xdxW1.pdb2	153.0
5xdxS1.pdb2	5xdxR1.pdb2	160.35
5xdxS1.pdb2	5xdxP1.pdb2	862.6
5xdxS1.pdb2	5xdxN1.pdb2	1233.55
5xdxT1.pdb2	5xdxP1.pdb2	1660.35
5xdxT1.pdb2	5xdxN1.pdb2	360.0
5xdxW1.pdb2	5xdxP1.pdb2	1345.1
5xdxW1.pdb2	5xdxN1.pdb2	259.55
5xdxR1.pdb2	5xdxO1.pdb2	277.65
5xdxZ1.pdb2	5xdxN1.pdb2	1083.15
5xdxP1.pdb2	5xdxO1.pdb2	27.5
5xdxP1.pdb2	5xdxN1.pdb2	2605.2
5xdxO1.pdb2	5xdxN1.pdb2	3519.35
1xdaA1.pdb1	1xdaB1.pdb1	600.1
1xdlC1.pdb2	1xdlD1.pdb2	730.65
4xd4A1.pdb1	4xd4G1.pdb1	1300.75
1xdaH1.pdb4	1xdaG1.pdb4	582.9
2xdjF1.pdb2	2xdjB1.pdb2	1262.05
2xdjF1.pdb2	2xdjA1.pdb2	1247.8
2xdjB1.pdb2	2xdjA1.pdb2	1366.45
1xdmC1.pdb2	1xdmD1.pdb2	805.1
2xdrB1.pdb1	2xdrC1.pdb1	1028.25
2xdrB1.pdb1	2xdrA1.pdb1	3375.15
2xdrB1.pdb1	2xdrD1.pdb1	776.65
2xdrC1.pdb1	2xdrA1.pdb1	772.4
2xdrC1.pdb1	2xdrD1.pdb1	3322.3
2xdrA1.pdb1	2xdrD1.pdb1	1025.5
5xd8B1.pdb1	5xd8A1.pdb1	1979.4
4xd3A1.pdb1	4xd3G1.pdb1	1302.3
2xdnC1.pdb2	2xdnD1.pdb2	2178.4
1xd8A1.pdb1	1xd8B1.pdb1	1821.8
1xdkF1.pdb2	1xdkH1.pdb2	502.4
1xdkF1.pdb2	1xdkE1.pdb2	1202.2
1xdkE1.pdb2	1xdkG1.pdb2	597.85
1xd3B1.pdb1	1xd3A1.pdb1	1132.1
1xdlA1.pdb1	1xdlB1.pdb1	735.35
1xdiB1.pdb1	1xdiA2.pdb1	530.35
1xdiB1.pdb1	1xdiB2.pdb1	276.2
1xdiB1.pdb1	1xdiA1.pdb1	3487.6
1xdiA2.pdb1	1xdiB2.pdb1	3487.6
1xdiA2.pdb1	1xdiA1.pdb1	296.0
1xdiB2.pdb1	1xdiA1.pdb1	530.35
4xd1A2.pdb1	4xd1A1.pdb1	1119.4
4xdkB1.pdb1	4xdkA1.pdb1	4794.9
1xdmA1.pdb1	1xdmB1.pdb1	794.15
5xdmA1.pdb1	5xdmB1.pdb1	372.25
1xd5B1.pdb5	1xd5A1.pdb5	244.3
5xdfB1.pdb1	5xdfA1.pdb1	1689.6
4xdlB1.pdb1	4xdlA1.pdb1	4956.85
4xdzB1.pdb1	4xdzA1.pdb1	6312.6
2xd5A1.pdb1	2xd5B1.pdb1	513.4
1xdaD1.pdb2	1xdaC1.pdb2	543.2
4xdjB1.pdb1	4xdjA1.pdb1	4970.65
5xdnA1.pdb1	5xdnB1.pdb1	569.85
1xdiA1.pdb2	1xdiB1.pdb2	3487.55
1xdaF2.pdb8	1xdaF1.pdb8	148.3
1xdaF2.pdb8	1xdaE2.pdb8	609.2
1xdaF2.pdb8	1xdaF3.pdb8	148.35
1xdaF2.pdb8	1xdaE3.pdb8	137.75
1xdaF1.pdb8	1xdaE2.pdb8	137.75
1xdaF1.pdb8	1xdaF3.pdb8	148.35
1xdaF1.pdb8	1xdaE1.pdb8	609.2
1xdaF3.pdb8	1xdaE3.pdb8	609.2
1xdaF3.pdb8	1xdaE1.pdb8	137.75
2xdhA2.pdb1	2xdhA1.pdb1	166.1
2xdhA2.pdb1	2xdhA3.pdb1	166.0
2xdhA1.pdb1	2xdhA3.pdb1	166.05
2xdgA1.pdb1	2xdgB1.pdb1	439.7
2xdiA1.pdb1	2xdiB1.pdb1	1896.95
4xd7C1.pdb1	4xd7G1.pdb1	276.3
4xd7C1.pdb1	4xd7D1.pdb1	1940.75
4xd7C1.pdb1	4xd7F1.pdb1	1805.1
4xd7C1.pdb1	4xd7H1.pdb1	256.85
4xd7A1.pdb1	4xd7G1.pdb1	464.45
4xd7A1.pdb1	4xd7E1.pdb1	1615.55
4xd7A1.pdb1	4xd7D1.pdb1	1714.1
4xd7A1.pdb1	4xd7H1.pdb1	73.6
4xd7G1.pdb1	4xd7E1.pdb1	443.2
4xd7G1.pdb1	4xd7D1.pdb1	206.5
4xd7G1.pdb1	4xd7F1.pdb1	383.6
4xd7G1.pdb1	4xd7H1.pdb1	1557.6
4xd7G1.pdb1	4xd7B1.pdb1	160.45
4xd7E1.pdb1	4xd7B1.pdb1	1619.5
4xd7D1.pdb1	4xd7H1.pdb1	214.3
4xd7F1.pdb1	4xd7H1.pdb1	215.35
4xd7F1.pdb1	4xd7B1.pdb1	1748.0
4xdvB1.pdb4	4xdvA1.pdb4	1458.75
