4xd9A1.pdb1	4xd9B1.pdb1	2725.1
5xdxA1.pdb1	5xdxC1.pdb1	2594.9
5xdxA1.pdb1	5xdxK1.pdb1	337.6
5xdxA1.pdb1	5xdxF1.pdb1	1261.0
5xdxA1.pdb1	5xdxI1.pdb1	99.55
5xdxA1.pdb1	5xdxH1.pdb1	130.25
5xdxE1.pdb1	5xdxD1.pdb1	1277.65
5xdxE1.pdb1	5xdxF1.pdb1	155.55
5xdxE1.pdb1	5xdxI1.pdb1	621.85
5xdxD1.pdb1	5xdxK1.pdb1	1447.0
5xdxD1.pdb1	5xdxF1.pdb1	140.05
5xdxD1.pdb1	5xdxI1.pdb1	406.75
5xdxG1.pdb1	5xdxC1.pdb1	1664.6
5xdxG1.pdb1	5xdxF1.pdb1	47.65
5xdxG1.pdb1	5xdxH1.pdb1	208.75
5xdxL1.pdb1	5xdxC1.pdb1	21.35
5xdxC1.pdb1	5xdxF1.pdb1	889.25
5xdxC1.pdb1	5xdxH1.pdb1	245.7
5xdxK1.pdb1	5xdxI1.pdb1	109.45
2xdjE1.pdb1	2xdjD1.pdb1	1335.1
2xdjE1.pdb1	2xdjC1.pdb1	1373.35
2xdjD1.pdb1	2xdjC1.pdb1	1304.45
1xdbA1.pdb1	1xdbB1.pdb1	1814.8
5xdgD1.pdb1	5xdgA1.pdb1	1751.05
5xdgD1.pdb1	5xdgC1.pdb1	2288.5
5xdgD1.pdb1	5xdgB1.pdb1	131.45
5xdgA1.pdb1	5xdgC1.pdb1	130.5
5xdgA1.pdb1	5xdgB1.pdb1	2245.1
5xdgC1.pdb1	5xdgB1.pdb1	1746.0
1xdmZ1.pdb4	1xdmY1.pdb4	798.4
1xd9B1.pdb1	1xd9A1.pdb1	1961.35
2xdaA7.pdb1	2xdaA11.pdb1	908.3
2xdaA7.pdb1	2xdaA4.pdb1	726.75
2xdaA7.pdb1	2xdaA10.pdb1	724.15
2xdaA1.pdb1	2xdaA4.pdb1	908.9
2xdaA1.pdb1	2xdaA9.pdb1	726.75
2xdaA1.pdb1	2xdaA5.pdb1	727.35
2xdaA11.pdb1	2xdaA3.pdb1	724.15
2xdaA11.pdb1	2xdaA8.pdb1	726.75
2xdaA3.pdb1	2xdaA5.pdb1	907.2
2xdaA3.pdb1	2xdaA8.pdb1	727.35
2xdaA12.pdb1	2xdaA6.pdb1	727.35
2xdaA12.pdb1	2xdaA10.pdb1	907.2
2xdaA12.pdb1	2xdaA2.pdb1	724.15
2xdaA6.pdb1	2xdaA2.pdb1	726.75
2xdaA6.pdb1	2xdaA8.pdb1	908.9
2xdaA4.pdb1	2xdaA10.pdb1	727.35
2xdaA9.pdb1	2xdaA2.pdb1	908.3
2xdaA9.pdb1	2xdaA5.pdb1	724.15
1xdaD3.pdb6	1xdaA1.pdb6	53.35
1xdaD3.pdb6	1xdaC2.pdb6	143.45
1xdaD3.pdb6	1xdaA3.pdb6	61.95
1xdaD3.pdb6	1xdaD2.pdb6	166.65
1xdaD3.pdb6	1xdaD1.pdb6	166.65
1xdaD3.pdb6	1xdaB1.pdb6	135.4
1xdaD3.pdb6	1xdaB3.pdb6	642.15
1xdaD3.pdb6	1xdaC3.pdb6	543.15
1xdaA1.pdb6	1xdaD1.pdb6	61.95
1xdaA1.pdb6	1xdaB1.pdb6	600.1
1xdaA1.pdb6	1xdaB3.pdb6	132.1
1xdaA1.pdb6	1xdaC3.pdb6	37.05
1xdaA2.pdb6	1xdaB2.pdb6	600.15
1xdaA2.pdb6	1xdaC1.pdb6	37.15
1xdaA2.pdb6	1xdaD2.pdb6	62.0
1xdaA2.pdb6	1xdaD1.pdb6	53.35
1xdaA2.pdb6	1xdaB1.pdb6	132.15
1xdaC2.pdb6	1xdaA3.pdb6	37.1
1xdaC2.pdb6	1xdaD2.pdb6	543.2
1xdaC2.pdb6	1xdaB3.pdb6	88.25
1xdaA3.pdb6	1xdaB2.pdb6	132.1
1xdaA3.pdb6	1xdaD2.pdb6	53.4
1xdaA3.pdb6	1xdaB3.pdb6	600.05
1xdaB2.pdb6	1xdaC1.pdb6	88.3
1xdaB2.pdb6	1xdaD2.pdb6	642.2
1xdaB2.pdb6	1xdaD1.pdb6	135.45
1xdaB2.pdb6	1xdaB1.pdb6	177.85
1xdaB2.pdb6	1xdaB3.pdb6	177.8
1xdaC1.pdb6	1xdaD2.pdb6	143.5
1xdaC1.pdb6	1xdaD1.pdb6	543.2
1xdaD2.pdb6	1xdaD1.pdb6	166.65
1xdaD2.pdb6	1xdaB3.pdb6	135.4
1xdaD1.pdb6	1xdaB1.pdb6	642.2
1xdaD1.pdb6	1xdaC3.pdb6	143.45
1xdaB1.pdb6	1xdaB3.pdb6	177.85
1xdaB1.pdb6	1xdaC3.pdb6	88.3
4xdkD1.pdb2	4xdkC1.pdb2	4284.0
5xdcC1.pdb1	5xdcA1.pdb1	130.2
5xdcC1.pdb1	5xdcB1.pdb1	1730.4
5xdcC1.pdb1	5xdcD1.pdb1	2051.15
