3sqbA1.pdb1	3sqbB1.pdb1	1733.85
1sq3H2.pdb1	1sq3G2.pdb1	1180.0
1sq3G1.pdb1	1sq3K1.pdb1	387.6
1sq3G1.pdb1	1sq3J1.pdb1	405.0
1sq3G1.pdb1	1sq3B1.pdb1	337.85
1sq3K1.pdb1	1sq3J1.pdb1	402.9
1sq3K1.pdb1	1sq3L2.pdb1	269.65
1sq3K2.pdb1	1sq3G2.pdb1	387.6
1sq3K2.pdb1	1sq3I2.pdb1	505.7
1sq3K2.pdb1	1sq3L2.pdb1	1167.35
1sq3E2.pdb1	1sq3D2.pdb1	417.1
1sq3G2.pdb1	1sq3L2.pdb1	479.95
1sq3I2.pdb1	1sq3D1.pdb1	321.75
1sq3D1.pdb1	1sq3B1.pdb1	477.55
1sqxA1.pdb1	1sqxD1.pdb1	152.45
1sqxA1.pdb1	1sqxK1.pdb1	371.1
1sqxA1.pdb1	1sqxE2.pdb1	0.05
1sqxA1.pdb1	1sqxE1.pdb1	1044.55
1sqxA1.pdb1	1sqxJ1.pdb1	289.95
1sqxA1.pdb1	1sqxF1.pdb1	1.5
1sqxA1.pdb1	1sqxC1.pdb1	432.75
1sqxA1.pdb1	1sqxB1.pdb1	2261.1
1sqxA1.pdb1	1sqxG1.pdb1	881.05
1sqxA1.pdb1	1sqxI1.pdb1	1399.05
1sqxA1.pdb1	1sqxF2.pdb1	53.4
1sqxD1.pdb1	1sqxE2.pdb1	41.0
1sqxD1.pdb1	1sqxE1.pdb1	780.2
1sqxD1.pdb1	1sqxJ1.pdb1	826.15
1sqxD1.pdb1	1sqxF1.pdb1	385.4
1sqxD1.pdb1	1sqxC1.pdb1	1676.75
1sqxD1.pdb1	1sqxD2.pdb1	386.8
1sqxD1.pdb1	1sqxH1.pdb1	1197.9
1sqxD1.pdb1	1sqxG1.pdb1	791.8
1sqxJ2.pdb1	1sqxE2.pdb1	687.8
1sqxJ2.pdb1	1sqxE1.pdb1	0.05
1sqxJ2.pdb1	1sqxD2.pdb1	826.15
1sqxJ2.pdb1	1sqxA2.pdb1	289.95
1sqxJ2.pdb1	1sqxK2.pdb1	702.55
1sqxH2.pdb1	1sqxE1.pdb1	0.05
1sqxH2.pdb1	1sqxD2.pdb1	1197.9
1sqxH2.pdb1	1sqxG2.pdb1	176.65
1sqxK1.pdb1	1sqxE2.pdb1	0.05
1sqxK1.pdb1	1sqxE1.pdb1	130.4
1sqxK1.pdb1	1sqxJ1.pdb1	702.55
1sqxK1.pdb1	1sqxF2.pdb1	238.5
