3sqbA1.pdb1	3sqbB1.pdb1	1733.85
3sqgA1.pdb1	3sqgE1.pdb1	2280.4
3sqgA1.pdb1	3sqgC1.pdb1	3070.3
3sqgA1.pdb1	3sqgB1.pdb1	1130.55
3sqgD1.pdb1	3sqgF1.pdb1	3056.2
3sqgD1.pdb1	3sqgE1.pdb1	1130.3
3sqgD1.pdb1	3sqgC1.pdb1	639.3
3sqgD1.pdb1	3sqgB1.pdb1	2291.05
3sqgF1.pdb1	3sqgE1.pdb1	2658.3
3sqgF1.pdb1	3sqgB1.pdb1	280.4
3sqgE1.pdb1	3sqgC1.pdb1	279.25
3sqgE1.pdb1	3sqgB1.pdb1	1807.25
3sqgC1.pdb1	3sqgB1.pdb1	2679.95
1sqpF1.pdb1	1sqpA2.pdb1	49.35
1sqpF1.pdb1	1sqpE1.pdb1	15.0
1sqpF1.pdb1	1sqpK2.pdb1	253.5
1sqpF1.pdb1	1sqpD1.pdb1	400.3
1sqpF1.pdb1	1sqpG1.pdb1	462.15
1sqpF1.pdb1	1sqpC1.pdb1	1235.6
1sqpF1.pdb1	1sqpA1.pdb1	4.05
1sqpF1.pdb1	1sqpB2.pdb1	441.05
1sqpC2.pdb1	1sqpA2.pdb1	440.5
1sqpC2.pdb1	1sqpK1.pdb1	94.3
1sqpC2.pdb1	1sqpE1.pdb1	1128.6
1sqpC2.pdb1	1sqpG2.pdb1	1024.5
1sqpC2.pdb1	1sqpE2.pdb1	515.8
1sqpC2.pdb1	1sqpD2.pdb1	1690.2
1sqpC2.pdb1	1sqpC1.pdb1	1158.6
1sqpC2.pdb1	1sqpF2.pdb1	1235.6
1sqpA2.pdb1	1sqpI2.pdb1	1433.55
1sqpA2.pdb1	1sqpK2.pdb1	388.35
1sqpA2.pdb1	1sqpG2.pdb1	874.0
1sqpA2.pdb1	1sqpE2.pdb1	1020.5
1sqpA2.pdb1	1sqpD2.pdb1	149.75
1sqpA2.pdb1	1sqpF2.pdb1	4.05
1sqpA2.pdb1	1sqpJ2.pdb1	272.8
1sqpA2.pdb1	1sqpB2.pdb1	2202.65
1sqpK1.pdb1	1sqpE1.pdb1	124.8
1sqpK1.pdb1	1sqpJ1.pdb1	684.1
1sqpK1.pdb1	1sqpF2.pdb1	253.5
1sqpK1.pdb1	1sqpA1.pdb1	388.35
1sqpE1.pdb1	1sqpJ1.pdb1	676.75
1sqpE1.pdb1	1sqpD1.pdb1	935.35
1sqpE1.pdb1	1sqpG1.pdb1	638.25
1sqpE1.pdb1	1sqpC1.pdb1	515.8
1sqpE1.pdb1	1sqpA1.pdb1	1020.5
1sqpI1.pdb1	1sqpB1.pdb1	2117.3
1sqpI1.pdb1	1sqpA1.pdb1	1433.55
1sqpB1.pdb1	1sqpF2.pdb1	441.1
1sqpB1.pdb1	1sqpA1.pdb1	2202.7
1sqpB1.pdb1	1sqpB2.pdb1	675.95
1sqpI2.pdb1	1sqpB2.pdb1	2117.25
1sqpK2.pdb1	1sqpE2.pdb1	124.8
1sqpK2.pdb1	1sqpC1.pdb1	94.3
1sqpK2.pdb1	1sqpJ2.pdb1	684.1
1sqpG2.pdb1	1sqpE2.pdb1	638.25
1sqpG2.pdb1	1sqpD2.pdb1	756.65
1sqpG2.pdb1	1sqpF2.pdb1	462.15
1sqpG2.pdb1	1sqpH2.pdb1	158.7
1sqpJ1.pdb1	1sqpD1.pdb1	918.7
1sqpJ1.pdb1	1sqpA1.pdb1	272.8
1sqpH1.pdb1	1sqpD1.pdb1	1185.25
1sqpH1.pdb1	1sqpG1.pdb1	158.7
1sqpE2.pdb1	1sqpD2.pdb1	935.35
1sqpE2.pdb1	1sqpC1.pdb1	1128.65
1sqpE2.pdb1	1sqpF2.pdb1	15.0
1sqpE2.pdb1	1sqpJ2.pdb1	676.75
1sqpD1.pdb1	1sqpD2.pdb1	359.8
1sqpD1.pdb1	1sqpG1.pdb1	756.65
1sqpD1.pdb1	1sqpC1.pdb1	1690.2
1sqpD1.pdb1	1sqpA1.pdb1	149.75
1sqpD2.pdb1	1sqpF2.pdb1	400.3
1sqpD2.pdb1	1sqpJ2.pdb1	918.7
1sqpD2.pdb1	1sqpH2.pdb1	1185.25
1sqpG1.pdb1	1sqpC1.pdb1	1024.5
1sqpG1.pdb1	1sqpA1.pdb1	874.0
1sqpC1.pdb1	1sqpA1.pdb1	440.5
1sqpF2.pdb1	1sqpA1.pdb1	49.35
1sqiB1.pdb1	1sqiA1.pdb1	1913.7
3sq8B1.pdb6	3sq8D1.pdb6	1132.85
3sqbF1.pdb3	3sqbE1.pdb3	1318.45
1sq5B1.pdb2	1sq5B2.pdb2	1948.4
3sq7A1.pdb5	3sq7D1.pdb5	1817.2
3sqpB1.pdb1	3sqpA1.pdb1	3309.35
1sqkA1.pdb1	1sqkB1.pdb1	853.9
1sq5D1.pdb1	1sq5A1.pdb1	1918.2
3sqgI1.pdb2	3sqgG2.pdb2	626.4
3sqgI1.pdb2	3sqgH1.pdb2	2688.55
3sqgI1.pdb2	3sqgG1.pdb2	3043.3
3sqgI1.pdb2	3sqgH2.pdb2	282.1
3sqgG2.pdb2	3sqgH1.pdb2	2295.4
3sqgG2.pdb2	3sqgG1.pdb2	6019.9
3sqgG2.pdb2	3sqgI2.pdb2	3043.25
3sqgG2.pdb2	3sqgH2.pdb2	1128.35
3sqgH1.pdb2	3sqgG1.pdb2	1128.35
3sqgH1.pdb2	3sqgI2.pdb2	282.1
3sqgH1.pdb2	3sqgH2.pdb2	1796.5
3sqgG1.pdb2	3sqgI2.pdb2	626.4
3sqgG1.pdb2	3sqgH2.pdb2	2295.4
3sqgI2.pdb2	3sqgH2.pdb2	2688.55
3sq9I1.pdb2	3sq9H1.pdb2	1290.65
3sq9I1.pdb2	3sq9J1.pdb2	1188.1
3sq9F1.pdb2	3sq9G1.pdb2	1195.3
3sq9F1.pdb2	3sq9J1.pdb2	1297.2
3sq9H1.pdb2	3sq9G1.pdb2	1211.55
