3upjB1.pdb1	3upjA1.pdb1	1666.05
5up8A16.pdb1	5up8A11.pdb1	1404.65
5up8A16.pdb1	5up8A24.pdb1	719.55
5up8A16.pdb1	5up8A13.pdb1	19.6
5up8A16.pdb1	5up8A5.pdb1	495.3
5up8A20.pdb1	5up8A8.pdb1	1398.5
5up8A20.pdb1	5up8A1.pdb1	495.3
5up8A20.pdb1	5up8A24.pdb1	718.45
5up8A20.pdb1	5up8A4.pdb1	496.45
5up8A20.pdb1	5up8A17.pdb1	19.9
5up8A18.pdb1	5up8A2.pdb1	495.3
5up8A18.pdb1	5up8A6.pdb1	1398.5
5up8A18.pdb1	5up8A15.pdb1	720.25
5up8A18.pdb1	5up8A3.pdb1	496.45
5up8A18.pdb1	5up8A21.pdb1	718.45
5up8A18.pdb1	5up8A19.pdb1	19.9
5up8A14.pdb1	5up8A23.pdb1	719.55
5up8A14.pdb1	5up8A9.pdb1	1404.65
5up8A14.pdb1	5up8A7.pdb1	496.45
5up8A14.pdb1	5up8A6.pdb1	495.3
5up8A14.pdb1	5up8A15.pdb1	19.6
5up8A14.pdb1	5up8A17.pdb1	720.25
5up8A23.pdb1	5up8A9.pdb1	496.65
5up8A23.pdb1	5up8A4.pdb1	1404.65
5up8A23.pdb1	5up8A22.pdb1	20.2
5up8A23.pdb1	5up8A12.pdb1	496.65
5up8A23.pdb1	5up8A17.pdb1	718.45
5up8A8.pdb1	5up8A4.pdb1	720.25
5up8A8.pdb1	5up8A13.pdb1	495.3
5up8A8.pdb1	5up8A5.pdb1	19.9
5up8A8.pdb1	5up8A12.pdb1	718.45
5up8A11.pdb1	5up8A2.pdb1	719.55
5up8A11.pdb1	5up8A24.pdb1	496.65
5up8A11.pdb1	5up8A5.pdb1	718.45
5up8A11.pdb1	5up8A21.pdb1	496.65
5up8A11.pdb1	5up8A10.pdb1	20.2
5up8A9.pdb1	5up8A6.pdb1	718.45
5up8A9.pdb1	5up8A3.pdb1	719.55
5up8A9.pdb1	5up8A22.pdb1	496.65
5up8A9.pdb1	5up8A12.pdb1	20.2
5up8A2.pdb1	5up8A5.pdb1	720.25
5up8A2.pdb1	5up8A3.pdb1	19.6
5up8A2.pdb1	5up8A21.pdb1	1404.65
5up8A2.pdb1	5up8A19.pdb1	496.45
5up8A1.pdb1	5up8A7.pdb1	720.25
5up8A1.pdb1	5up8A24.pdb1	1404.65
5up8A1.pdb1	5up8A4.pdb1	19.6
5up8A1.pdb1	5up8A10.pdb1	719.55
5up8A1.pdb1	5up8A17.pdb1	496.45
5up8A7.pdb1	5up8A6.pdb1	19.9
5up8A7.pdb1	5up8A15.pdb1	495.3
5up8A7.pdb1	5up8A10.pdb1	718.45
5up8A7.pdb1	5up8A17.pdb1	1398.5
5up8A24.pdb1	5up8A21.pdb1	20.2
5up8A24.pdb1	5up8A10.pdb1	496.65
5up8A4.pdb1	5up8A12.pdb1	719.55
5up8A4.pdb1	5up8A17.pdb1	495.3
5up8A13.pdb1	5up8A5.pdb1	496.45
5up8A13.pdb1	5up8A22.pdb1	719.55
5up8A13.pdb1	5up8A12.pdb1	1404.65
5up8A13.pdb1	5up8A19.pdb1	720.25
5up8A5.pdb1	5up8A19.pdb1	1398.5
5up8A6.pdb1	5up8A15.pdb1	496.45
5up8A6.pdb1	5up8A3.pdb1	720.25
5up8A15.pdb1	5up8A21.pdb1	719.55
5up8A15.pdb1	5up8A10.pdb1	1404.65
5up8A3.pdb1	5up8A22.pdb1	1404.65
5up8A3.pdb1	5up8A19.pdb1	495.3
5up8A21.pdb1	5up8A10.pdb1	496.65
5up8A22.pdb1	5up8A12.pdb1	496.65
5up8A22.pdb1	5up8A19.pdb1	718.45
4up7A2.pdb1	4up7A1.pdb1	4317.5
3uprB1.pdb1	3uprA1.pdb1	1324.75
3uprA1.pdb1	3uprP1.pdb1	777.75
2up1A1.pdb1	2up1B1.pdb1	791.95
5upxA4.pdb1	5upxA2.pdb1	2494.2
5upxA4.pdb1	5upxA1.pdb1	2494.2
5upxA2.pdb1	5upxA3.pdb1	2494.2
5upxA1.pdb1	5upxA3.pdb1	2494.2
4upvR1.pdb1	4upvB1.pdb1	3476.8
3upvA1.pdb1	3upvB1.pdb1	532.25
1upmB1.pdb1	1upmH1.pdb1	484.45
1upmB1.pdb1	1upmE1.pdb1	458.3
1upmB1.pdb1	1upmF1.pdb1	498.1
1upmB1.pdb1	1upmW1.pdb1	895.05
1upmB1.pdb1	1upmL1.pdb1	4776.25
1upmB1.pdb1	1upmV1.pdb1	490.75
1upmB1.pdb1	1upmC1.pdb1	1847.5
1upmH1.pdb1	1upmK1.pdb1	455.55
1upmH1.pdb1	1upmE1.pdb1	4775.65
1upmH1.pdb1	1upmF1.pdb1	1.0
1upmH1.pdb1	1upmO1.pdb1	487.6
1upmH1.pdb1	1upmI1.pdb1	1846.25
1upmH1.pdb1	1upmC1.pdb1	899.9
1upmH1.pdb1	1upmM1.pdb1	486.75
1upmK1.pdb1	1upmE1.pdb1	491.15
1upmK1.pdb1	1upmP1.pdb1	1.25
1upmK1.pdb1	1upmO1.pdb1	4772.35
1upmK1.pdb1	1upmI1.pdb1	484.3
1upmK1.pdb1	1upmR1.pdb1	489.3
1upmK1.pdb1	1upmM1.pdb1	1842.9
