3upjB1.pdb1	3upjA1.pdb1	1666.05
1upfB1.pdb1	1upfD1.pdb1	1074.35
1upfB1.pdb1	1upfC1.pdb1	1988.05
1upfD1.pdb1	1upfA1.pdb1	2037.35
1upfC1.pdb1	1upfA1.pdb1	1146.45
3updA1.pdb1	3updA2.pdb1	1083.4
3updA1.pdb1	3updA3.pdb1	1082.35
3updA2.pdb1	3updA3.pdb1	1081.85
3upuB1.pdb2	3upuE1.pdb2	1016.9
1upbA1.pdb1	1upbC1.pdb1	1004.4
1upbA1.pdb1	1upbB1.pdb1	3632.15
1upbA1.pdb1	1upbD1.pdb1	216.25
1upbC1.pdb1	1upbB1.pdb1	225.9
1upbC1.pdb1	1upbD1.pdb1	3634.95
1upbB1.pdb1	1upbD1.pdb1	1019.55
4uppA1.pdb1	4uppB1.pdb1	2656.3
4uprB1.pdb1	4uprA1.pdb1	2806.65
3upsA2.pdb1	3upsA1.pdb1	1355.3
1uptB1.pdb1	1uptA1.pdb1	646.9
1uptB1.pdb1	1uptD1.pdb1	840.9
1uptA1.pdb1	1uptD1.pdb1	2.25
1uptC1.pdb1	1uptD1.pdb1	617.2
3upwA1.pdb1	3upwA2.pdb1	382.8
5upuA3.pdb1	5upuA4.pdb1	14.5
5upuA3.pdb1	5upuA2.pdb1	1652.9
5upuA3.pdb1	5upuA1.pdb1	1652.9
5upuA4.pdb1	5upuA2.pdb1	1652.9
5upuA4.pdb1	5upuA1.pdb1	1652.9
5upuA2.pdb1	5upuA1.pdb1	14.5
1up8C2.pdb1	1up8A2.pdb1	950.4
1up8C2.pdb1	1up8B2.pdb1	544.2
1up8C2.pdb1	1up8D2.pdb1	5293.35
1up8C2.pdb1	1up8D1.pdb1	548.3
1up8C2.pdb1	1up8B3.pdb1	951.55
1up8C2.pdb1	1up8C1.pdb1	174.8
1up8C2.pdb1	1up8C3.pdb1	174.8
1up8C2.pdb1	1up8D3.pdb1	73.8
1up8C2.pdb1	1up8A3.pdb1	30.3
1up8A2.pdb1	1up8B2.pdb1	5266.45
1up8A2.pdb1	1up8D2.pdb1	54.1
1up8A2.pdb1	1up8D1.pdb1	172.75
1up8A2.pdb1	1up8B3.pdb1	962.2
1up8A2.pdb1	1up8B1.pdb1	174.05
1up8A2.pdb1	1up8C1.pdb1	30.35
1up8A2.pdb1	1up8A1.pdb1	549.9
1up8A2.pdb1	1up8A3.pdb1	550.0
1up8B2.pdb1	1up8D2.pdb1	176.15
1up8B2.pdb1	1up8D1.pdb1	549.2
1up8B2.pdb1	1up8B3.pdb1	44.95
1up8B2.pdb1	1up8B1.pdb1	44.9
1up8B2.pdb1	1up8C1.pdb1	951.6
1up8B2.pdb1	1up8A1.pdb1	962.2
1up8B2.pdb1	1up8A3.pdb1	174.05
1up8D2.pdb1	1up8D1.pdb1	956.3
1up8D2.pdb1	1up8B3.pdb1	549.15
1up8D2.pdb1	1up8C1.pdb1	73.8
1up8D2.pdb1	1up8C3.pdb1	548.3
1up8D2.pdb1	1up8D3.pdb1	956.3
1up8D2.pdb1	1up8A3.pdb1	172.75
1up8D1.pdb1	1up8B1.pdb1	176.15
1up8D1.pdb1	1up8C1.pdb1	5293.45
1up8D1.pdb1	1up8C3.pdb1	73.8
1up8D1.pdb1	1up8D3.pdb1	956.35
1up8D1.pdb1	1up8A1.pdb1	54.1
1up8B3.pdb1	1up8B1.pdb1	44.9
1up8B3.pdb1	1up8C3.pdb1	544.15
1up8B3.pdb1	1up8D3.pdb1	176.05
1up8B3.pdb1	1up8A1.pdb1	174.0
1up8B3.pdb1	1up8A3.pdb1	5266.3
1up8B1.pdb1	1up8C1.pdb1	544.15
1up8B1.pdb1	1up8C3.pdb1	951.65
1up8B1.pdb1	1up8D3.pdb1	549.15
1up8B1.pdb1	1up8A1.pdb1	5266.35
1up8B1.pdb1	1up8A3.pdb1	962.25
1up8C1.pdb1	1up8C3.pdb1	174.8
1up8C1.pdb1	1up8D3.pdb1	548.3
1up8C1.pdb1	1up8A1.pdb1	950.45
1up8C3.pdb1	1up8D3.pdb1	5293.45
1up8C3.pdb1	1up8A1.pdb1	30.35
1up8C3.pdb1	1up8A3.pdb1	950.45
1up8D3.pdb1	1up8A1.pdb1	172.7
1up8D3.pdb1	1up8A3.pdb1	54.1
1up8A1.pdb1	1up8A3.pdb1	549.95
4upvQ1.pdb2	4upvA1.pdb2	3491.35
4upjA1.pdb1	4upjB1.pdb1	1693.35
5uprA1.pdb1	5uprD2.pdb1	1828.5
1uptF1.pdb2	1uptG1.pdb2	1.4
1uptF1.pdb2	1uptE1.pdb2	620.3
1uptF1.pdb2	1uptH1.pdb2	860.1
1uptG1.pdb2	1uptH1.pdb2	623.25
1uptE1.pdb2	1uptH1.pdb2	0.65
5upbD1.pdb1	5upbA1.pdb1	298.25
5upbD1.pdb1	5upbB1.pdb1	1879.65
5upbD1.pdb1	5upbC1.pdb1	2785.75
5upbA1.pdb1	5upbB1.pdb1	2825.05
5upbA1.pdb1	5upbC1.pdb1	1877.55
5upbB1.pdb1	5upbC1.pdb1	298.55
4up3B1.pdb1	4up3A1.pdb1	1505.7
