3wvuA3.pdb1	3wvuA8.pdb1	668.65
3wvuA3.pdb1	3wvuA14.pdb1	597.6
3wvuA3.pdb1	3wvuA24.pdb1	1399.7
3wvuA10.pdb1	3wvuA8.pdb1	669.1
3wvuA10.pdb1	3wvuA17.pdb1	595.8
3wvuA21.pdb1	3wvuA22.pdb1	37.3
3wvuA21.pdb1	3wvuA6.pdb1	595.8
3wvuA21.pdb1	3wvuA5.pdb1	595.6
3wvuA21.pdb1	3wvuA4.pdb1	1399.7
3wvuA21.pdb1	3wvuA17.pdb1	669.1
3wvuA22.pdb1	3wvuA6.pdb1	595.6
3wvuA22.pdb1	3wvuA5.pdb1	595.9
3wvuA22.pdb1	3wvuA15.pdb1	670.45
3wvuA22.pdb1	3wvuA1.pdb1	1399.7
3wvuA6.pdb1	3wvuA5.pdb1	38.45
3wvuA6.pdb1	3wvuA4.pdb1	668.65
3wvuA5.pdb1	3wvuA17.pdb1	1394.75
3wvuA5.pdb1	3wvuA1.pdb1	668.7
3wvuA4.pdb1	3wvuA14.pdb1	597.6
3wvuA8.pdb1	3wvuA23.pdb1	595.6
3wvuA8.pdb1	3wvuA24.pdb1	595.8
3wvuA16.pdb1	3wvuA15.pdb1	38.2
3wvuA16.pdb1	3wvuA23.pdb1	670.45
3wvuA16.pdb1	3wvuA1.pdb1	597.6
3wvuA15.pdb1	3wvuA1.pdb1	597.6
3wvuA23.pdb1	3wvuA24.pdb1	37.3
3wvuA19.pdb1	3wvuA14.pdb1	668.65
3wvuA19.pdb1	3wvuA24.pdb1	669.1
3wvuA14.pdb1	3wvuA24.pdb1	670.45
2wvgE1.pdb3	2wvgF1.pdb3	4203.55
3wvwA2.pdb1	3wvwA15.pdb1	598.6
3wvwA2.pdb1	3wvwA7.pdb1	655.5
3wvwA2.pdb1	3wvwA12.pdb1	657.0
3wvwA2.pdb1	3wvwA16.pdb1	598.6
3wvwA2.pdb1	3wvwA23.pdb1	1455.1
3wvwA2.pdb1	3wvwA1.pdb1	37.7
3wvwA14.pdb1	3wvwA3.pdb1	598.6
3wvwA14.pdb1	3wvwA4.pdb1	598.6
3wvwA14.pdb1	3wvwA11.pdb1	1455.1
3wvwA14.pdb1	3wvwA19.pdb1	655.5
3wvwA14.pdb1	3wvwA13.pdb1	37.6
3wvwA14.pdb1	3wvwA24.pdb1	657.0
3wvwA3.pdb1	3wvwA4.pdb1	37.6
3wvwA3.pdb1	3wvwA8.pdb1	655.5
3wvwA3.pdb1	3wvwA13.pdb1	598.6
3wvwA3.pdb1	3wvwA24.pdb1	1455.1
3wvwA3.pdb1	3wvwA10.pdb1	657.0
3wvwA4.pdb1	3wvwA11.pdb1	657.0
3wvwA4.pdb1	3wvwA6.pdb1	655.5
3wvwA4.pdb1	3wvwA21.pdb1	1455.1
3wvwA4.pdb1	3wvwA13.pdb1	598.6
3wvwA22.pdb1	3wvwA15.pdb1	657.0
3wvwA22.pdb1	3wvwA6.pdb1	597.05
3wvwA22.pdb1	3wvwA21.pdb1	36.2
3wvwA22.pdb1	3wvwA5.pdb1	595.55
3wvwA22.pdb1	3wvwA1.pdb1	1455.1
3wvwA22.pdb1	3wvwA20.pdb1	656.75
3wvwA15.pdb1	3wvwA12.pdb1	1455.1
3wvwA15.pdb1	3wvwA16.pdb1	37.7
3wvwA15.pdb1	3wvwA1.pdb1	598.6
3wvwA15.pdb1	3wvwA20.pdb1	655.5
3wvwA7.pdb1	3wvwA12.pdb1	656.75
3wvwA7.pdb1	3wvwA19.pdb1	1452.3
3wvwA7.pdb1	3wvwA8.pdb1	38.2
