3gokH1.pdb4	3gokI1.pdb4	933.05
3gokG1.pdb4	3gokI1.pdb4	877.9
4go7X2.pdb1	4go7X1.pdb1	2058.8
2goyD1.pdb1	2goyB1.pdb1	1289.55
2goyD1.pdb1	2goyC1.pdb1	720.9
2goyB1.pdb1	2goyA1.pdb1	718.55
2goyA1.pdb1	2goyC1.pdb1	1194.8
3govB1.pdb1	3govA1.pdb1	834.4
6gopQ1.pdb1	6gopP1.pdb1	1545.5
6gopQ1.pdb1	6gopY1.pdb1	322.45
6gopQ1.pdb1	6gopR1.pdb1	1265.0
6gopQ1.pdb1	6gopX1.pdb1	406.65
6gopQ1.pdb1	6gopO1.pdb1	92.3
6gopP1.pdb1	6gopR1.pdb1	113.75
6gopP1.pdb1	6gopV1.pdb1	276.5
6gopP1.pdb1	6gopX1.pdb1	549.35
6gopP1.pdb1	6gopU1.pdb1	138.5
6gopP1.pdb1	6gopW1.pdb1	483.8
6gopP1.pdb1	6gopO1.pdb1	1381.55
6gopP1.pdb1	6gopS1.pdb1	126.65
6gopP1.pdb1	6gopT1.pdb1	142.9
6gopF1.pdb1	6gopA1.pdb1	159.45
6gopF1.pdb1	6gopM1.pdb1	457.3
6gopF1.pdb1	6gopB1.pdb1	144.1
6gopF1.pdb1	6gopN1.pdb1	475.35
6gopF1.pdb1	6gopE1.pdb1	1328.5
6gopF1.pdb1	6gopG1.pdb1	1370.25
6gopL1.pdb1	6gopK1.pdb1	689.9
6gopL1.pdb1	6gopM1.pdb1	944.5
6gopL1.pdb1	6gopV1.pdb1	1454.4
6gopL1.pdb1	6gopW1.pdb1	732.1
6gopL1.pdb1	6gopD1.pdb1	537.1
6gopL1.pdb1	6gopE1.pdb1	352.1
6gopY1.pdb1	6gopR1.pdb1	424.6
6gopY1.pdb1	6gopI1.pdb1	970.7
6gopY1.pdb1	6gopZ1.pdb1	684.9
6gopY1.pdb1	6gopX1.pdb1	645.75
6gopY1.pdb1	6gopJ1.pdb1	755.9
6gopY1.pdb1	6gopH1.pdb1	97.85
6gopA1.pdb1	6gopI1.pdb1	523.5
6gopA1.pdb1	6gopB1.pdb1	1377.25
6gopA1.pdb1	6gopD1.pdb1	22.7
6gopA1.pdb1	6gopE1.pdb1	60.5
6gopA1.pdb1	6gopG1.pdb1	1418.3
6gopA1.pdb1	6gopC1.pdb1	88.2
6gopA1.pdb1	6gopH1.pdb1	663.05
6gopa1.pdb1	6gopZ1.pdb1	948.35
6gopa1.pdb1	6gopb1.pdb1	634.55
6gopa1.pdb1	6gopN1.pdb1	1357.6
6gopa1.pdb1	6gopS1.pdb1	589.1
6gopa1.pdb1	6gopG1.pdb1	74.2
6gopa1.pdb1	6gopH1.pdb1	931.0
6gopa1.pdb1	6gopT1.pdb1	468.95
6gopR1.pdb1	6gopZ1.pdb1	535.75
6gopR1.pdb1	6gopO1.pdb1	26.1
6gopR1.pdb1	6gopS1.pdb1	1024.25
6gopK1.pdb1	6gopV1.pdb1	96.0
6gopK1.pdb1	6gopX1.pdb1	756.55
6gopK1.pdb1	6gopW1.pdb1	978.0
6gopK1.pdb1	6gopD1.pdb1	425.95
6gopK1.pdb1	6gopJ1.pdb1	643.75
6gopK1.pdb1	6gopC1.pdb1	329.35
6gopI1.pdb1	6gopZ1.pdb1	735.75
6gopI1.pdb1	6gopB1.pdb1	487.95
6gopI1.pdb1	6gopJ1.pdb1	572.0
6gopI1.pdb1	6gopH1.pdb1	1640.6
6gopZ1.pdb1	6gopS1.pdb1	351.35
6gopZ1.pdb1	6gopH1.pdb1	1456.7
6gopM1.pdb1	6gopV1.pdb1	929.1
6gopM1.pdb1	6gopU1.pdb1	71.45
6gopM1.pdb1	6gopb1.pdb1	1355.2
6gopM1.pdb1	6gopN1.pdb1	633.25
6gopM1.pdb1	6gopE1.pdb1	584.25
6gopV1.pdb1	6gopU1.pdb1	637.45
6gopV1.pdb1	6gopW1.pdb1	1637.15
6gopV1.pdb1	6gopO1.pdb1	660.8
6gopV1.pdb1	6gopb1.pdb1	508.9
6gopX1.pdb1	6gopW1.pdb1	578.2
6gopX1.pdb1	6gopJ1.pdb1	694.7
6gopU1.pdb1	6gopO1.pdb1	1420.2
6gopU1.pdb1	6gopb1.pdb1	458.75
6gopU1.pdb1	6gopT1.pdb1	1370.3
6gopW1.pdb1	6gopO1.pdb1	524.75
6gopO1.pdb1	6gopS1.pdb1	58.4
6gopO1.pdb1	6gopT1.pdb1	155.2
6gopB1.pdb1	6gopD1.pdb1	113.45
6gopB1.pdb1	6gopJ1.pdb1	537.7
6gopB1.pdb1	6gopE1.pdb1	136.4
6gopB1.pdb1	6gopG1.pdb1	131.05
6gopB1.pdb1	6gopC1.pdb1	1547.0
6gopB1.pdb1	6gopH1.pdb1	279.3
6gopb1.pdb1	6gopN1.pdb1	635.3
6gopb1.pdb1	6gopT1.pdb1	480.7
6gopN1.pdb1	6gopG1.pdb1	462.85
6gopN1.pdb1	6gopH1.pdb1	512.65
6gopD1.pdb1	6gopE1.pdb1	1017.95
6gopD1.pdb1	6gopC1.pdb1	1278.6
6gopJ1.pdb1	6gopC1.pdb1	406.25
6gopS1.pdb1	6gopT1.pdb1	1344.4
6gopG1.pdb1	6gopH1.pdb1	645.35
4goyA1.pdb3	4goyB1.pdb3	528.9
4gofA1.pdb1	4gofB1.pdb1	775.8
6gogB1.pdb1	6gogF1.pdb1	282.75
6gogB1.pdb1	6gogD1.pdb1	305.4
6gogB1.pdb1	6gogA1.pdb1	322.5
6gogB1.pdb1	6gogE1.pdb1	693.95
6gogF1.pdb1	6gogC1.pdb1	309.35
6gogF1.pdb1	6gogD1.pdb1	610.85
6gogF1.pdb1	6gogE1.pdb1	308.65
6gogC1.pdb1	6gogD1.pdb1	275.4
6gogC1.pdb1	6gogA1.pdb1	622.55
6gogC1.pdb1	6gogE1.pdb1	305.7
6gogD1.pdb1	6gogA1.pdb1	298.35
6gogA1.pdb1	6gogE1.pdb1	273.2
2gomA1.pdb1	2gomB1.pdb1	402.7
2gokB1.pdb1	2gokA1.pdb1	1767.5
4go3C1.pdb1	4go3A1.pdb1	3111.1
3go6B1.pdb2	3go6B2.pdb2	17.95
3go6B1.pdb2	3go6A1.pdb2	458.6
3go6B1.pdb2	3go6A2.pdb2	1326.25
3go6B2.pdb2	3go6A1.pdb2	1326.3
3go6B2.pdb2	3go6A2.pdb2	458.65
3go6A1.pdb2	3go6A2.pdb2	55.4
5go8A4.pdb1	5go8A2.pdb1	69.3
5go8A1.pdb1	5go8A3.pdb1	69.3
5go8A3.pdb1	5go8A2.pdb1	69.3
2goxC1.pdb2	2goxD1.pdb2	827.2
1go4A1.pdb1	1go4D1.pdb1	196.05
1go4A1.pdb1	1go4H1.pdb1	85.4
1go4A1.pdb1	1go4G1.pdb1	1429.4
1go4B1.pdb1	1go4F1.pdb1	1503.55
1go4B1.pdb1	1go4E1.pdb1	244.95
1go4B1.pdb1	1go4G1.pdb1	394.6
1go4B1.pdb1	1go4C1.pdb1	352.7
1go4F1.pdb1	1go4E1.pdb1	1452.2
1go4F1.pdb1	1go4H1.pdb1	21.25
1go4F1.pdb1	1go4G1.pdb1	25.75
1go4F1.pdb1	1go4C1.pdb1	88.4
1go4E1.pdb1	1go4D1.pdb1	56.5
1go4E1.pdb1	1go4H1.pdb1	377.55
1go4E1.pdb1	1go4G1.pdb1	98.4
1go4E1.pdb1	1go4C1.pdb1	1149.2
1go4D1.pdb1	1go4H1.pdb1	1386.5
1go4D1.pdb1	1go4G1.pdb1	85.45
1go4H1.pdb1	1go4G1.pdb1	1536.4
1go4G1.pdb1	1go4C1.pdb1	5.2
6gouD2.pdb1	6gouB1.pdb1	3373.25
1go6D1.pdb1	1go6B1.pdb1	5.95
3go1P1.pdb1	3go1L1.pdb1	438.35
3go1P1.pdb1	3go1H1.pdb1	344.2
3go1L1.pdb1	3go1H1.pdb1	1774.9
4gokB1.pdb1	4gokG1.pdb1	689.55
4gowA1.pdb1	4gowD1.pdb1	1461.7
2go7C1.pdb6	2go7D1.pdb6	1116.35
2gotB1.pdb2	2gotB2.pdb2	329.7
4govA4.pdb3	4govB1.pdb3	408.25
4govA4.pdb3	4govB2.pdb3	627.75
4govB1.pdb3	4govB2.pdb3	519.05
4govB1.pdb3	4govA3.pdb3	627.7
4govB2.pdb3	4govA3.pdb3	408.25
5goxA1.pdb1	5goxB1.pdb1	1096.75
6golA3.pdb1	6golA2.pdb1	1046.1
6golA3.pdb1	6golA1.pdb1	1046.1
6golA2.pdb1	6golA1.pdb1	1046.1
4goyB2.pdb4	4goyB1.pdb4	664.0
3go7A1.pdb1	3go7B2.pdb1	1357.0
1go3F1.pdb1	1go3E1.pdb1	1960.3
2go1A2.pdb1	2go1A1.pdb1	3754.5
2golB1.pdb1	2golA1.pdb1	493.85
4go3E1.pdb4	4go3H1.pdb4	2965.1
3godC1.pdb2	3godA1.pdb2	1727.95
6go7G1.pdb1	6go7E1.pdb1	286.05
6go7G1.pdb1	6go7A1.pdb1	300.1
6go7G1.pdb1	6go7I1.pdb1	315.35
6go7F1.pdb1	6go7J1.pdb1	319.95
6go7F1.pdb1	6go7H1.pdb1	271.25
6go7F1.pdb1	6go7A1.pdb1	421.3
6go7E1.pdb1	6go7H1.pdb1	30.5
6go7E1.pdb1	6go7A1.pdb1	443.05
6go7E1.pdb1	6go7I1.pdb1	86.35
6go7J1.pdb1	6go7H1.pdb1	80.65
6go7J1.pdb1	6go7A1.pdb1	26.65
6go7H1.pdb1	6go7A1.pdb1	381.55
4go5X1.pdb1	4go5X2.pdb1	1687.0
4go6A1.pdb1	4go6D1.pdb1	75.95
4go6A1.pdb1	4go6D2.pdb1	41.75
4go6A1.pdb1	4go6B1.pdb1	2356.05
4go6B2.pdb1	4go6D1.pdb1	452.65
4go6B2.pdb1	4go6A2.pdb1	2356.0
4go6B2.pdb1	4go6D2.pdb1	1071.05
4go6B2.pdb1	4go6C2.pdb1	230.25
4go6C1.pdb1	4go6D1.pdb1	2016.05
4go6C1.pdb1	4go6B1.pdb1	230.25
4go6D1.pdb1	4go6A2.pdb1	41.75
4go6D1.pdb1	4go6D2.pdb1	13.3
4go6D1.pdb1	4go6B1.pdb1	1071.0
4go6A2.pdb1	4go6D2.pdb1	75.95
4go6D2.pdb1	4go6B1.pdb1	452.55
4go6D2.pdb1	4go6C2.pdb1	2016.05
5gonA1.pdb1	5gonE1.pdb1	1531.75
5gonA1.pdb1	5gonF1.pdb1	752.15
5gonA1.pdb1	5gonB1.pdb1	1256.4
5gonE1.pdb1	5gonD1.pdb1	640.25
5gonE1.pdb1	5gonB1.pdb1	607.45
5gonE1.pdb1	5gonC1.pdb1	781.0
5gonD1.pdb1	5gonC1.pdb1	1385.5
5gonF1.pdb1	5gonB1.pdb1	298.35
5gonB1.pdb1	5gonC1.pdb1	846.15
3godB1.pdb3	3godD1.pdb3	1716.2
3gocB1.pdb2	3gocA1.pdb2	604.05
6gooA1.pdb1	6gooB1.pdb1	900.35
6gooA1.pdb1	6gooB2.pdb1	350.5
6gooA1.pdb1	6gooA2.pdb1	399.65
6gooB1.pdb1	6gooB2.pdb1	397.85
6gooB1.pdb1	6gooA2.pdb1	350.55
6gooB2.pdb1	6gooA2.pdb1	900.45
6gouA1.pdb2	6gouC1.pdb2	3343.9
3go6B2.pdb1	3go6A1.pdb1	1326.3
3gocA1.pdb1	3gocB1.pdb1	604.05
5godB1.pdb1	5godA1.pdb1	538.35
1goiA1.pdb1	1goiB1.pdb1	1346.2
4go3F1.pdb2	4go3B1.pdb2	3025.35
5goiA1.pdb1	5goiB1.pdb1	509.1
3go8B1.pdb1	3go8A1.pdb1	412.9
3go8B1.pdb1	3go8C1.pdb1	631.6
3go8A1.pdb1	3go8C1.pdb1	512.95
2goxB1.pdb1	2goxA1.pdb1	825.95
3gokE1.pdb3	3gokD1.pdb3	672.9
3gokE1.pdb3	3gokF1.pdb3	919.95
3gokD1.pdb3	3gokF1.pdb3	916.2
6gonC1.pdb1	6gonB1.pdb1	342.95
6gonC1.pdb1	6gonA1.pdb1	394.85
6gonC1.pdb1	6gonD1.pdb1	896.95
6gonB1.pdb1	6gonA1.pdb1	901.5
6gonB1.pdb1	6gonD1.pdb1	396.7
6gonA1.pdb1	6gonD1.pdb1	342.5
6gos12.pdb1	6gos21.pdb1	115.4
6gos12.pdb1	6gosC2.pdb1	108.45
6gos12.pdb1	6gosC1.pdb1	1537.8
6gos12.pdb1	6gos11.pdb1	287.65
6gos12.pdb1	6gosA2.pdb1	628.3
6gos12.pdb1	6gosD1.pdb1	926.65
6gos12.pdb1	6gos22.pdb1	1519.1
6gosD2.pdb1	6gosC2.pdb1	1007.9
6gosD2.pdb1	6gosC1.pdb1	530.15
6gosD2.pdb1	6gos11.pdb1	926.6
6gosD2.pdb1	6gosA2.pdb1	77.75
6gosD2.pdb1	6gos22.pdb1	2224.2
6gos21.pdb1	6gosA1.pdb1	332.1
6gos21.pdb1	6gos11.pdb1	1519.05
6gos21.pdb1	6gosD1.pdb1	2224.15
6gosA1.pdb1	6gosC2.pdb1	278.25
6gosA1.pdb1	6gosC1.pdb1	147.1
6gosA1.pdb1	6gos11.pdb1	628.3
6gosA1.pdb1	6gosD1.pdb1	77.7
6gosC2.pdb1	6gosC1.pdb1	5522.0
6gosC2.pdb1	6gos11.pdb1	1537.8
6gosC2.pdb1	6gosA2.pdb1	147.1
6gosC2.pdb1	6gosD1.pdb1	530.1
6gosC1.pdb1	6gos11.pdb1	108.45
6gosC1.pdb1	6gosA2.pdb1	278.25
6gosC1.pdb1	6gosD1.pdb1	1007.9
6gos11.pdb1	6gos22.pdb1	115.35
6gosA2.pdb1	6gos22.pdb1	332.1
4gopY1.pdb2	4gopZ1.pdb2	1089.1
4gopY1.pdb2	4gopX1.pdb2	1116.8
4gopY1.pdb2	4gopL1.pdb2	380.55
4gopZ1.pdb2	4gopX1.pdb2	330.45
4gopZ1.pdb2	4gopL1.pdb2	2334.65
1gowA2.pdb1	1gowA1.pdb1	1261.4
1gowA2.pdb1	1gowB1.pdb1	857.3
1gowA2.pdb1	1gowB2.pdb1	83.2
1gowA1.pdb1	1gowB1.pdb1	83.15
1gowA1.pdb1	1gowB2.pdb1	857.35
1gowB1.pdb1	1gowB2.pdb1	1281.65
4godA1.pdb1	4godB1.pdb1	810.0
4go3G1.pdb3	4go3D1.pdb3	3013.85
5gobA1.pdb1	5gobA2.pdb1	157.9
2go3A1.pdb3	2go3B2.pdb3	318.8
4go0B1.pdb1	4go0D1.pdb1	1197.05
4go0B1.pdb1	4go0C1.pdb1	1136.25
4go0B1.pdb1	4go0A1.pdb1	2495.35
4go0D1.pdb1	4go0C1.pdb1	2511.75
4go0D1.pdb1	4go0A1.pdb1	1111.25
4go0C1.pdb1	4go0A1.pdb1	1189.0
4gomF1.pdb1	4gomD1.pdb1	422.35
4gomF1.pdb1	4gomE1.pdb1	410.3
4gomD1.pdb1	4gomE1.pdb1	411.9
4go6D1.pdb4	4go6C1.pdb4	2016.05
5gopB2.pdb1	5gopC2.pdb1	2680.75
5gopB2.pdb1	5gopC1.pdb1	645.0
5gopB2.pdb1	5gopB1.pdb1	10.0
5gopB2.pdb1	5gopA1.pdb1	552.3
5gopC2.pdb1	5gopA2.pdb1	575.65
5gopC2.pdb1	5gopB1.pdb1	644.95
5gopC2.pdb1	5gopA1.pdb1	9.85
5gopC1.pdb1	5gopA2.pdb1	9.8
5gopC1.pdb1	5gopB1.pdb1	2680.75
5gopC1.pdb1	5gopA1.pdb1	575.65
5gopA2.pdb1	5gopB1.pdb1	552.25
5gopA2.pdb1	5gopA1.pdb1	2962.85
3gopA2.pdb1	3gopA1.pdb1	1485.5
4gopK1.pdb1	4gopC1.pdb1	2376.25
4gopK1.pdb1	4gopB1.pdb1	511.65
4gopA1.pdb1	4gopC1.pdb1	336.9
4gopA1.pdb1	4gopB1.pdb1	1108.2
4gopC1.pdb1	4gopB1.pdb1	1076.25
4go4C1.pdb2	4go4D1.pdb2	3218.3
2gooD1.pdb1	2gooE1.pdb1	908.6
2gooD1.pdb1	2gooF1.pdb1	687.95
2gooE1.pdb1	2gooB1.pdb1	394.85
2gooC1.pdb1	2gooA1.pdb1	686.05
2gooB1.pdb1	2gooA1.pdb1	842.35
5gomB1.pdb1	5gomA1.pdb1	1002.95
5goqB2.pdb1	5goqA1.pdb1	571.45
5goqB2.pdb1	5goqC1.pdb1	6.3
5goqB2.pdb1	5goqC2.pdb1	555.85
5goqB2.pdb1	5goqB1.pdb1	2924.0
5goqA1.pdb1	5goqA2.pdb1	13.5
5goqA1.pdb1	5goqC1.pdb1	2706.95
5goqA1.pdb1	5goqC2.pdb1	646.55
5goqA2.pdb1	5goqC1.pdb1	646.55
5goqA2.pdb1	5goqC2.pdb1	2706.95
5goqA2.pdb1	5goqB1.pdb1	571.35
5goqC1.pdb1	5goqB1.pdb1	555.85
5goqC2.pdb1	5goqB1.pdb1	6.3
6go6F1.pdb1	6go6A1.pdb1	642.4
6go6F1.pdb1	6go6E1.pdb1	204.55
6go6F1.pdb1	6go6G1.pdb1	63.05
6go6A1.pdb1	6go6E1.pdb1	309.15
6go6A1.pdb1	6go6G1.pdb1	36.6
6go6E1.pdb1	6go6G1.pdb1	328.5
6go5A1.pdb1	6go5F1.pdb1	377.9
6go5A1.pdb1	6go5G1.pdb1	361.35
