1uhdA2.pdb2	1uhdA3.pdb2	582.6
1uhdA2.pdb2	1uhdA8.pdb2	86.1
1uhdB3.pdb2	1uhdA3.pdb2	1648.95
3uhiC1.pdb2	3uhiD1.pdb2	855.55
4uhpB1.pdb3	4uhpA1.pdb3	874.7
4uhkA2.pdb2	4uhkA1.pdb2	1393.0
3uhvA1.pdb1	3uhvB1.pdb1	938.0
1uh1D3.pdb3	1uh1C3.pdb3	527.45
1uh1D3.pdb3	1uh1B3.pdb3	35.6
1uh1D3.pdb3	1uh1A3.pdb3	411.05
1uh1E1.pdb3	1uh1F1.pdb3	526.05
1uh1E1.pdb3	1uh1C3.pdb3	84.55
1uh1E1.pdb3	1uh1G1.pdb3	289.7
1uh1E1.pdb3	1uh1A2.pdb3	54.75
1uh1E1.pdb3	1uh1H1.pdb3	406.45
1uh1E1.pdb3	1uh1A3.pdb3	281.35
1uh1C2.pdb3	1uh1B2.pdb3	432.7
1uh1C2.pdb3	1uh1C3.pdb3	2.9
1uh1C2.pdb3	1uh1A2.pdb3	296.4
1uh1C2.pdb3	1uh1B3.pdb3	16.15
1uh1C2.pdb3	1uh1A3.pdb3	86.0
1uh1C2.pdb3	1uh1D2.pdb3	527.5
1uh1B2.pdb3	1uh1C3.pdb3	16.15
1uh1B2.pdb3	1uh1A2.pdb3	531.7
1uh1B2.pdb3	1uh1B3.pdb3	42.45
1uh1B2.pdb3	1uh1D2.pdb3	35.6
1uh1F1.pdb3	1uh1G1.pdb3	425.55
1uh1F1.pdb3	1uh1H1.pdb3	35.5
1uh1C3.pdb3	1uh1G1.pdb3	277.4
1uh1C3.pdb3	1uh1A2.pdb3	86.0
1uh1C3.pdb3	1uh1B3.pdb3	432.65
1uh1C3.pdb3	1uh1A3.pdb3	296.4
1uh1G1.pdb3	1uh1H1.pdb3	527.1
1uh1A2.pdb3	1uh1A3.pdb3	208.7
1uh1A2.pdb3	1uh1D2.pdb3	411.1
1uh1B3.pdb3	1uh1A3.pdb3	531.65
4uhzA1.pdb1	4uhzB1.pdb1	439.4
3uh3A1.pdb1	3uh3B1.pdb1	901.2
1uhlD1.pdb1	1uhlB1.pdb1	502.9
1uhlB1.pdb1	1uhlA1.pdb1	976.45
1uhlC1.pdb1	1uhlA1.pdb1	533.05
3uhgB1.pdb1	3uhgA1.pdb1	877.0
3uhjG1.pdb6	3uhjF1.pdb6	1423.1
3uh2A1.pdb3	3uh2B2.pdb3	304.25
5uh0A1.pdb3	5uh0B2.pdb3	889.8
4uh9A1.pdb1	4uh9B1.pdb1	2762.95
3uhzB1.pdb1	3uhzA1.pdb1	914.05
3uhbA1.pdb1	3uhbB1.pdb1	873.7
3uhxB1.pdb1	3uhxA1.pdb1	881.65
1uh1G1.pdb4	1uh1H1.pdb4	527.1
1uh1G1.pdb4	1uh1E1.pdb4	289.7
1uh1G1.pdb4	1uh1F1.pdb4	425.55
1uh1H1.pdb4	1uh1E1.pdb4	406.45
1uh1H1.pdb4	1uh1F1.pdb4	35.5
1uh1B2.pdb4	1uh1A2.pdb4	531.65
1uh1B2.pdb4	1uh1D2.pdb4	35.6
1uh1B2.pdb4	1uh1C3.pdb4	16.1
1uh1B2.pdb4	1uh1C2.pdb4	432.6
1uh1B2.pdb4	1uh1B3.pdb4	42.45
1uh1A2.pdb4	1uh1D2.pdb4	411.1
1uh1A2.pdb4	1uh1A3.pdb4	208.75
1uh1A2.pdb4	1uh1C3.pdb4	85.95
1uh1A2.pdb4	1uh1C2.pdb4	296.4
1uh1D3.pdb4	1uh1A3.pdb4	411.15
1uh1D3.pdb4	1uh1C3.pdb4	527.5
1uh1D3.pdb4	1uh1B3.pdb4	35.65
1uh1D2.pdb4	1uh1C2.pdb4	527.45
1uh1A3.pdb4	1uh1C3.pdb4	296.35
1uh1A3.pdb4	1uh1C2.pdb4	85.95
1uh1A3.pdb4	1uh1B3.pdb4	531.75
1uh1E1.pdb4	1uh1C3.pdb4	204.45
1uh1E1.pdb4	1uh1F1.pdb4	526.05
1uh1C3.pdb4	1uh1C2.pdb4	2.8
1uh1C3.pdb4	1uh1B3.pdb4	432.65
1uh1C2.pdb4	1uh1B3.pdb4	16.1
4uh2A1.pdb1	4uh2B1.pdb1	2633.9
4uhjC1.pdb2	4uhjB1.pdb2	1243.9
3uhlD1.pdb2	3uhlC1.pdb2	1783.4
3uhnB1.pdb1	3uhnA1.pdb1	931.6
3uhdB1.pdb1	3uhdA1.pdb1	870.75
5uhwB1.pdb1	5uhwA1.pdb1	1408.15
1uhbA1.pdb1	1uhbP1.pdb1	268.65
1uhbA1.pdb1	1uhbB1.pdb1	2770.0
1uhbP1.pdb1	1uhbB1.pdb1	395.85
3uhjC1.pdb1	3uhjD1.pdb1	1389.5
3uhjC1.pdb1	3uhjB1.pdb1	449.1
3uhjD1.pdb1	3uhjB1.pdb1	180.3
3uhjD1.pdb1	3uhjA1.pdb1	473.35
3uhjB1.pdb1	3uhjA1.pdb1	1419.85
3uhwB1.pdb1	3uhwA1.pdb1	914.3
4uhnA2.pdb1	4uhnA1.pdb1	747.7
3uhjF2.pdb7	3uhjG2.pdb7	1423.1
3uhjF2.pdb7	3uhjH1.pdb7	456.0
3uhjF2.pdb7	3uhjC3.pdb7	170.65
3uhjF2.pdb7	3uhjD3.pdb7	450.3
3uhjG2.pdb7	3uhjE1.pdb7	468.55
3uhjG2.pdb7	3uhjH1.pdb7	179.05
3uhjG2.pdb7	3uhjC3.pdb7	457.45
3uhjE1.pdb7	3uhjH1.pdb7	1458.3
3uhjE1.pdb7	3uhjA3.pdb7	167.15
3uhjE1.pdb7	3uhjB3.pdb7	447.55
3uhjH1.pdb7	3uhjA3.pdb7	453.15
3uhjA3.pdb7	3uhjB3.pdb7	1419.85
3uhjA3.pdb7	3uhjD3.pdb7	473.35
3uhjC3.pdb7	3uhjB3.pdb7	449.1
3uhjC3.pdb7	3uhjD3.pdb7	1389.5
3uhjB3.pdb7	3uhjD3.pdb7	180.3
3uh6B1.pdb1	3uh6A1.pdb1	835.15
3uhlB1.pdb1	3uhlA1.pdb1	1511.45
3uh7B1.pdb1	3uh7A1.pdb1	816.8
3uhkA1.pdb1	3uhkB1.pdb1	878.9
1uh0A2.pdb1	1uh0D2.pdb1	413.5
1uh0A2.pdb1	1uh0C2.pdb1	293.65
1uh0A2.pdb1	1uh0B2.pdb1	531.1
1uh0A2.pdb1	1uh0B1.pdb1	291.3
1uh0A2.pdb1	1uh0A1.pdb1	235.3
1uh0A2.pdb1	1uh0C1.pdb1	42.95
1uh0D2.pdb1	1uh0C2.pdb1	531.05
1uh0D2.pdb1	1uh0B2.pdb1	35.05
1uh0D2.pdb1	1uh0B1.pdb1	12.55
1uh0D2.pdb1	1uh0C1.pdb1	292.25
1uh0D1.pdb1	1uh0C2.pdb1	292.25
1uh0D1.pdb1	1uh0B2.pdb1	12.55
1uh0D1.pdb1	1uh0B1.pdb1	35.05
1uh0D1.pdb1	1uh0A1.pdb1	413.5
1uh0D1.pdb1	1uh0C1.pdb1	531.1
1uh0C2.pdb1	1uh0B2.pdb1	436.55
1uh0C2.pdb1	1uh0A1.pdb1	42.95
1uh0C2.pdb1	1uh0C1.pdb1	215.6
1uh0B2.pdb1	1uh0A1.pdb1	291.3
1uh0B1.pdb1	1uh0A1.pdb1	531.1
1uh0B1.pdb1	1uh0C1.pdb1	436.55
1uh0A1.pdb1	1uh0C1.pdb1	293.75
4uhpC1.pdb1	4uhpD1.pdb1	883.65
3uhtA1.pdb1	3uhtB1.pdb1	941.75
5uhkB1.pdb1	5uhkA1.pdb1	1271.1
5uhkB1.pdb1	5uhkC1.pdb1	995.5
5uhkB1.pdb1	5uhkD1.pdb1	1314.1
5uhkA1.pdb1	5uhkC1.pdb1	71.95
5uhkA1.pdb1	5uhkD1.pdb1	977.4
5uhkC1.pdb1	5uhkD1.pdb1	1291.7
5uhmA1.pdb1	5uhmB1.pdb1	917.85
4uh0A1.pdb1	4uh0B1.pdb1	2624.1
4uhyC1.pdb1	4uhyA1.pdb1	452.55
4uhyC1.pdb1	4uhyB1.pdb1	530.85
4uhyA1.pdb1	4uhyB1.pdb1	1315.7
4uhaA1.pdb1	4uhaB1.pdb1	2790.75
1uh0H1.pdb2	1uh0E1.pdb2	404.65
1uh0H1.pdb2	1uh0F1.pdb2	34.35
1uh0H1.pdb2	1uh0G2.pdb2	294.45
1uh0H1.pdb2	1uh0F2.pdb2	13.3
1uh0H1.pdb2	1uh0G1.pdb2	526.05
1uh0E2.pdb2	1uh0E1.pdb2	223.3
1uh0E2.pdb2	1uh0H2.pdb2	404.65
1uh0E2.pdb2	1uh0F1.pdb2	294.8
1uh0E2.pdb2	1uh0G2.pdb2	282.05
1uh0E2.pdb2	1uh0F2.pdb2	529.15
1uh0E2.pdb2	1uh0G1.pdb2	42.9
1uh0E1.pdb2	1uh0F1.pdb2	529.15
1uh0E1.pdb2	1uh0G2.pdb2	42.9
1uh0E1.pdb2	1uh0F2.pdb2	294.8
1uh0E1.pdb2	1uh0G1.pdb2	282.1
1uh0H2.pdb2	1uh0F1.pdb2	13.3
1uh0H2.pdb2	1uh0G2.pdb2	526.0
1uh0H2.pdb2	1uh0F2.pdb2	34.35
1uh0H2.pdb2	1uh0G1.pdb2	294.45
1uh0F1.pdb2	1uh0G1.pdb2	428.7
1uh0G2.pdb2	1uh0F2.pdb2	428.65
1uh0G2.pdb2	1uh0G1.pdb2	239.15
5uhlB1.pdb1	5uhlD1.pdb1	1293.0
5uhlB1.pdb1	5uhlC1.pdb1	1063.75
5uhlB1.pdb1	5uhlA1.pdb1	1245.9
5uhlD1.pdb1	5uhlC1.pdb1	1290.6
5uhlD1.pdb1	5uhlA1.pdb1	999.65
5uhlC1.pdb1	5uhlA1.pdb1	42.75
4uhxA2.pdb1	4uhxA1.pdb1	2685.5
3uhyA1.pdb1	3uhyB1.pdb1	919.8
3uheA1.pdb1	3uheB1.pdb1	887.15
4uh5A1.pdb1	4uh5B1.pdb1	2735.25
4uh4A1.pdb1	4uh4B1.pdb1	2643.4
3uhjA1.pdb3	3uhjB1.pdb3	1419.85
4uh1A1.pdb1	4uh1B1.pdb1	2629.15
5uhqC1.pdb2	5uhqD1.pdb2	1151.1
3uhaA1.pdb2	3uhaB1.pdb2	670.1
3uhuA1.pdb1	3uhuB1.pdb1	950.05
3uhiA1.pdb1	3uhiB1.pdb1	859.05
3uhqB1.pdb1	3uhqA1.pdb1	930.5
4uhvB2.pdb1	4uhvB1.pdb1	7992.7
4uhvB2.pdb1	4uhvB3.pdb1	7992.8
4uhvB1.pdb1	4uhvB3.pdb1	7992.8
5uhsA1.pdb1	5uhsB1.pdb1	1756.15
5uhjA1.pdb1	5uhjA2.pdb1	1435.6
3uh4A1.pdb3	3uh4B1.pdb3	909.9
3uhsA1.pdb1	3uhsB1.pdb1	951.3
3uhjE1.pdb2	3uhjH1.pdb2	1458.3
3uhjE1.pdb2	3uhjG2.pdb2	468.55
3uhjH1.pdb2	3uhjG2.pdb2	179.05
3uhjH1.pdb2	3uhjF2.pdb2	456.0
3uhjG2.pdb2	3uhjF2.pdb2	1423.1
5uhvA1.pdb2	5uhvA2.pdb2	679.3
1uheA1.pdb1	1uheA3.pdb1	685.75
1uheA1.pdb1	1uheA4.pdb1	685.75
1uheA1.pdb1	1uheB1.pdb1	1642.35
1uheA1.pdb1	1uheB4.pdb1	419.95
1uheA1.pdb1	1uheB3.pdb1	187.65
1uheA3.pdb1	1uheA2.pdb1	685.75
1uheA3.pdb1	1uheB1.pdb1	419.95
1uheA3.pdb1	1uheB2.pdb1	187.65
1uheA3.pdb1	1uheB3.pdb1	1642.35
1uheA4.pdb1	1uheA2.pdb1	685.75
1uheA4.pdb1	1uheB1.pdb1	187.65
1uheA4.pdb1	1uheB4.pdb1	1642.35
1uheA4.pdb1	1uheB2.pdb1	419.95
1uheA2.pdb1	1uheB4.pdb1	187.65
1uheA2.pdb1	1uheB2.pdb1	1642.35
1uheA2.pdb1	1uheB3.pdb1	419.95
1uheB1.pdb1	1uheB4.pdb1	199.55
1uheB1.pdb1	1uheB3.pdb1	199.55
1uheB4.pdb1	1uheB2.pdb1	199.55
1uheB2.pdb1	1uheB3.pdb1	199.55
5uhzA1.pdb1	5uhzB1.pdb1	1421.5
3uhjH1.pdb5	3uhjE1.pdb5	1458.3
1uhdA3.pdb1	1uhdA2.pdb1	582.6
1uhdA3.pdb1	1uhdB1.pdb1	420.45
1uhdA3.pdb1	1uhdB3.pdb1	1648.95
1uhdA3.pdb1	1uhdB2.pdb1	144.9
1uhdA3.pdb1	1uhdA1.pdb1	582.6
1uhdA2.pdb1	1uhdA4.pdb1	582.6
1uhdA2.pdb1	1uhdB3.pdb1	420.45
1uhdA2.pdb1	1uhdB4.pdb1	144.9
1uhdA2.pdb1	1uhdB2.pdb1	1648.95
1uhdB1.pdb1	1uhdA4.pdb1	144.9
1uhdB1.pdb1	1uhdB3.pdb1	203.6
